0
Phylum CHORDATA
Class CHONDRICHTHYES
Order ORECTOLOBIFORMES
Family Ginglymostomatidae
"Ginglymostoma unami Moral-Flores, Ramírez-Antonio, Angulo &"
Family Monacanthidae
"Aluterus monoceros (Linnaeus, 1758)"
"Aluterus scriptus (Osbeck, 1765)"
"Cantherhines dumerilii (Hollard, 1854)"
Family Ostraciidae
"Ostracion meleagris Shaw, 1796"
Family Tetraodontidae
"Arothron hispidus (Linnaeus, 1758)"
"Arothron meleagris (Anonymous, 1798)"
"Canthigaster punctatissima (Günther, 1870)"
"Lagocephalus lagocephalus (Linnaeus, 1758)"
"Sphoeroides angusticeps (Jenyns, 1842)"
"Sphoeroides lobatus (Steindachner, 1870)"
Family Diodontidae
"Chilomycterus reticulatus (Linnaeus, 1758)"
"Diodon holocanthus (Linnaeus, 1758)"
"Diodon hystrix (Linnaeus, 1758)"
Phylum CHORDATA
Class CHONDRICHTHYES
Order CHIMAERIFORMES
Family Chimaeridae
Hidrolagus sp.
Order LAMNIFORMES
Family Odontaspididae
"Odontaspis ferox (Risso, 1810)"
Family Pseudocarchariidae
"Pseudocarcharias kamoharai (Matsubara, 1936)"
Family Lamnidae
"Carcharodon carcharias (Linnaeus, 1758)"
"Isurus oxyrinchus (Rafinesque, 1810)"
Order CARCHARHINIFORMES
Family Triakidae
"Alopias pelagicus Nakamura, 1935"
"Alopias superciliosus Lowe, 1841"
"Alopias vulpinus (Bonnaterre, 1788)"
"Mustelus mento Cope, 1877"
Family Carcharhinidae
"Carcharhinus falciformis (Müller & Henle, 1839)"
"Carcharhinus longimanus (Poey, 1861)"
"Prionace glauca (Linneus, 1758)"
"Rhizoprionodon longurio (Jordan & Gilbert, 1882)"
Family Sphyrnidae
Sphyrna tiburo (Linnaeus 1758)
Order MYLIOBATIFORMES
Family Dasyatidae
"Pteroplatytrygon violacea (Bonaparte, 1832)"
Family Myliobatidae
"Mobula japanica (Müller and Henle, 1841)"
"Mobula munkiana Notabartolo di Sciara, 1987"
"Mobula thurstoni (Lloyd, 1908)"
"Myliobatis peruvianus Garman, 1913"
Order SQUALIFORMES
Family Etmopteridae
"Centroscyllium nigrum Garman, 1899"
Order RAJIFORMES
Family Arhynchobatidae
"Bathyraja spinosissima (Beebe & Tee-Van, 1941)"
Family Rhinobatidae
"Rhinobatos planiceps Garman, 1913"
Family Rajidae
"Raja equatoralis Jordan & Bollman, 1890"
Clase ACTINOPTERYGII
Order ANGUILLIFORMES
Family Chlopsidae
"Chlopsis bicollaris (Myers & Wade, 1941)"
Family Ophichthidae
"Bascanichthys bascanoides Osborn & Nichols, 1916"
"Gordiichthys combilus McCosker & Lavenberg, 2001"
"Herpetoichthys fossatus (Myers & Wade, 1941)"
"Ophichthus rugifer Jordan & Bollman, 1890"
"Ophichthus triserialis (Kaup, 1856)"
"Paraletharchus pacificus (Osburn & Nichols, 1916)"
"Scytalichthys miurus (Jordan & Gilbert, 1882)"
Family Nemichthyidae
"Avocettina bowersii (Garman, 1899)"
"Nemichthys scolopaceus Richardson, 1848"
Family Congridae
"Bathycongrus varidens (Garman, 1899)"
"Chiloconger dentatus (Garman, 1899)"
Family Nettastomatidae
Facciolella sp.
"Venefica tentaculata Garman, 1899"
Saurenchelys new species
Family Serrivomeridae
"Serrivomer sector Garman, 1899"
Order CLUPEIFORMES
Family Engraulidae
"Anchoa argentivittata (Regan, 1904)"
"Anchoa ischana (Jordan & Gilbert, 1882)"
"Anchoa nasus (Kner & Steindachner, 1867)"
Order ARGENTINIFORMES
Family Alepocephalidae
"Alepocephalus fundulus Garman, 1899"
"Bathytroctes inspector Garman, 1899"
"Narcetes stomias (Gilbert, 1890)"
Order STOMIIFORMES
Family Gonostomatidae
"Cyclothone acclinidens Quéro, 1974"
"Diplophos proximus Parr, 1931"
"Diplophos taenia Günther, 1873"
Family Sternoptychidae
"Argyropelecus lychnus Garman, 1899"
"Sternoptyx diaphana Hermann, 1781"
Family Phosichthyidae
"Ichthyococcus irregularis Rechnitzer & Böhlke, 1958"
"Vinciguerria lucetia (Garman, 1899)"
Family Stomiidae
"Astronesthes niger Richardson, 1845"
"Bathophilus filifer (Garman, 1899)"
"Borostomias panamensis Regan & Trewavas, 1929"
"Chauliodus barbatus Garman, 1899"
"Stomias atriventer Garman, 1899"
Order ATELEOPODIFORMES
Family Ateleopodidae
"Guentherus altivela Osório, 1917"
Order AULOPIFORMES
Family Aulopidae
"Aulopus bajacali Parin& Kotlyar, 1984"
Family Chlorophthalmidae
"Chlorophthalmus mento Garman, 1899"
Family Scopelarchidae
"Scopelarchoides nicholsi Parr, 1929"
