"";"Name quoted";"Valide Name";"Simplified group";"Kingdom";"Class";"Order";"Family";"CD_NOM";"Date of the last observation"
"";"Sylvia undata (Boddaert, 1783)";"Sylvia undata (Boddaert, 1783)";"Oiseaux";"Animalia";"Aves";"Passeriformes";"Sylviidae";"4221";"19-10-2018"
"";"Sympetrum fonscolombii (Selys, 1840)";"Sympetrum fonscolombii (Selys, 1840)";"Insectes et araignées";"Animalia";"Insecta";"Odonata";"Libellulidae";"65335";"11-07-2019"
"";"Sympetrum meridionale (Selys, 1841)";"Sympetrum meridionale (Selys, 1841)";"Insectes et araignées";"Animalia";"Insecta";"Odonata";"Libellulidae";"65339";"23-09-2002"
"";"Symphodus bailloni (Valenciennes, 1839)";"Symphodus bailloni (Valenciennes, 1839)";"Poissons";"Animalia";"Actinopterygii";"Perciformes";"Labridae";"69858";"07-07-2015"
"";"Symphodus cinereus (Bonnaterre, 1788)";"Symphodus cinereus (Bonnaterre, 1788)";"Poissons";"Animalia";"Actinopterygii";"Perciformes";"Labridae";"669248";"02-09-2018"
"";"Symphodus mediterraneus (Linnaeus, 1758)";"Symphodus mediterraneus (Linnaeus, 1758)";"Poissons";"Animalia";"Actinopterygii";"Perciformes";"Labridae";"69867";"26-06-2014"
"";"Symphodus ocellatus (Linnaeus, 1758)";"Symphodus ocellatus (Linnaeus, 1758)";"Poissons";"Animalia";"Actinopterygii";"Perciformes";"Labridae";"366305";"19-08-2018"
"";"Symphodus roissali (Risso, 1810)";"Symphodus roissali (Risso, 1810)";"Poissons";"Animalia";"Actinopterygii";"Perciformes";"Labridae";"69877";"02-09-2018"
"";"Symphodus rostratus (Bloch, 1791)";"Symphodus rostratus (Bloch, 1791)";"Poissons";"Animalia";"Actinopterygii";"Perciformes";"Labridae";"69880";"26-06-2014"
"";"Symphodus tinca (Linnaeus, 1758)";"Symphodus tinca (Linnaeus, 1758)";"Poissons";"Animalia";"Actinopterygii";"Perciformes";"Labridae";"69882";"14-09-2020"
"";"Synema globosum (Fabricius, 1775)";"Synema globosum (Fabricius, 1775)";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Thomisidae";"234169";"14-05-2018"
"";"Apus melba (Linnaeus, 1758)";"Tachymarptis melba (Linnaeus, 1758)";"Oiseaux";"Animalia";"Aves";"Caprimulgiformes";"Apodidae";"3558";"11-09-2019"
"";"Tadarida teniotis (Rafinesque, 1814)";"Tadarida teniotis (Rafinesque, 1814)";"Mammifères";"Animalia";"Mammalia";"Chiroptera";"Molossidae";"60557";"01-09-2016"
"";"Tamarix gallica L., 1753";"Tamarix gallica L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Caryophyllales";"Tamaricaceae";"125426";"09-10-2019"
"";"Tarentola mauritanica (Linnaeus, 1758)";"Tarentola mauritanica (Linnaeus, 1758)";"Amphibiens et reptiles";"Animalia";"";"Squamata";"Phyllodactylidae";"77570";"28-08-2019"
"";"Teesdalia coronopifolia (J.P.Bergeret) Thell., 1912";"Teesdalia coronopifolia (J.P.Bergeret) Thell., 1912";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Brassicales";"Brassicaceae";"125826";"06-05-1984"
