datelastmodified	basisofrecord	country	stateprovince	institutioncode	collectioncode	catalognumber	kingdom	phylum	taxonclass	ordem	family	genus	species	subspecies	scientificname	scientificnameauthor	typestatus	yearcollected	monthcollected	daycollected	collector	collectornumber	fieldnumber	julianday	timeofday	identifiedby	yearidentified	monthidentified	dayidentified	continentocean	county	locality	verbatimlatitude	verbatimlongitude	longitude	latitude	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode	historyofdeposit	depositor	yeardeposited	monthdeposited	daydeposited	isolatedfrom	isolator	isolationmethod	conditionsforgrowth	geneticallymodified	genotype	mutant	race	alternatestate	strainproperties	strainapplications	formofsupply	restrictions	biologicalrisks	pathogenicity
2022-05-09T10:45:58	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	887	Animalia	Chordata			Paralichthyidae	Citharichthys	spilopterus		Citharichthys spilopterus	(Günther, 1862)		2001	07	30	J-C. Joyeux et al.					C. R. Pimentel & L. B. Stocco	2008	07	11		Vitória	Baía de Vitória	-20,3	-40,3	-40.3	-20.3								Formol 10% -> Álcool 70%	1				<nO>Coletado com rede de arrasto. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:37	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	1626	Animalia	Chordata			Carangidae	Chloroscombrus	chrysurus		Chloroscombrus chrysurus	(Linnaeus, 1766)		1986	06	29	J. L. Gasparini					J. L. Gasparini					Vitória	Praia de Camburi	-20,319	-40,338	-40.338	-20.319								Álcool 70%	1				<nO>20º19'09"S /40º20'16"W; Presente;</nO>																					
2022-05-09T10:46:00	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	89	Animalia	Chordata			Syngnathidae	Hippocampus	reidi		Hippocampus reidi	(Ginsburg, 1933)		2003	07	05	Ligia M. Coser & Bruno B. Pereira										Aracruz	Estuário do Piraquê-açú/Piraquê-mirim	-19,95	-40,17	-40.17	-19.95								Álcool 70%	1				<nO>Rede balão (PA-3; Milênio). Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:32	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	130024	Animalia	Chordata			Batrachoididae	Porichthys	porosissimus		Porichthys porosissimus	Valenciennes, 1837		1985	11	13	Barco Babalu					E. C. Perrone					Serra	Litoral de Nova Almeida	-20,203	-40,195	-40.195	-20.203									1				<nO>Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:57	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	541	Animalia	Chordata			Serranidae	Paranthias	furcifer		Paranthias furcifer	(Valenciennes, 1828)		2007	10	30	J-C. Joyeux, R. M. Macieira & V. C. Brilhante					J.-C. Joyeux, R. M. Macieira & V. C. Brilhante	2007	10	31		Guarapari	Ilhas Rasas	-20,657	-40,51	-40.51	-20.657					7	7		Formol 10% -> Álcool 70%	1				<nO>Coletado com puçá em mergulho autônomo. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:49	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	618	Animalia	Chordata			Haemulidae	Orthopristis	ruber		Orthopristis ruber	(Cuvier, 1830)		2001	03	30	J-C. Joyeux et al.										Vitória	Baía de Vitória	-20,3	-40,3	-40.3	-20.3								Formol 10% -> Álcool 70%	2				<nO>Coletado com rede de arrasto. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:46:01	PreservedSpecimen	Brasil	Bahia	UFES	CIUFES	1656	Animalia	Chordata			Tetraodontidae	Sphoeroides	testudineus		Sphoeroides testudineus	(Linnaeus, 1758)		1999	10	27	R. L. Teixeira					L.M.Sarmento-Soares					Camamu	Camamu	-13,94444444	-39,10388889	-39.10388889	-13.94444444								Álcool 70%	5				<nO>S. greeleyi; 13º56'40"S /39º06'14"W; Presente;</nO>																					
2022-05-09T10:45:35	PreservedSpecimen	Brasil	Rio de Janeiro	UFES	CIUFES	46	Animalia	Chordata			Blenniidae	Hypleurochilus	fissicornis		Hypleurochilus fissicornis	(Quoy & Gaimard, 1824)		2004	02	10	J-C. Joyeux & James van Tassell										Arraial do Cabo	Ilha de Cabo Frio: Saco do Anekim	-23	-41,3	-41.3	-23								Álcool 92,8%	1				<nO>Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:32	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	130655	Animalia	Chordata			Atherinopsidae	Atherinella	brasiliensis		Atherinella brasiliensis	(Quoy & Gaimard, 1824)		1978	01	15	J. L. Helmer										Guarapari	Estuário do rio Una	-20,65	-40,51	-40.51	-20.65									2				<nO>Capturados com tarrafa. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:35	PreservedSpecimen	Brasil	Bahia	UFES	CIUFES	3276	Animalia	Chordata			Blenniidae	Hypleurochilus	fissicornis		Hypleurochilus fissicornis	(Quoy & Gaimard 1824)		2015	01	12	R. M. Macieira, C. L. S. Sampaio					R. M. Macieira					Salvador	Iate, Baía de Todos os Santos	-12.97	-38.51	-38.51	-12.97								Formol 10% -> Álcool 70%	2				<nO>Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-12-15T10:28:33	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	3488	Animalia	Chordata			Atherinopsidae	Atherinella	brasiliensis		Atherinella brasiliensis	(Quoy & Gaimard, 1825)					H. C. Guabiroba					C. C. Vilar e H. C. Guabiroba					Linhares	Estuário Rio Doce, Regência	-19,657	-39,818	-39.818	-19.657								Formol 10% -> Álcool 70%	1				<nO>Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:43	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	34	Animalia	Chordata			Gobiidae	Gnatholepis	thompsoni		Gnatholepis thompsoni	(Jordan, 1904)		2004	02	19	J-C. Joyeux & James van Tassell					J. V. Tassell					Guarapari	Ilhas Rasas	-20,657	-40,51	-40.51	-20.657								Álcool 92,8%	1				<nO>Coletado com puçá. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:49	PreservedSpecimen	São Tomé e Príncipe		UFES	CIUFES	3405	Animalia	Chordata			Labridae	Thalassoma	newtoni		Thalassoma newtoni	(Osório, 1891)		2016	01	23	J. L. Gasparini, L. A. Rocha, C. E. L. Ferreira, R. Morais, Hugolay Maia, Luisa Fontoura e S. Floeter					J. L. Gasparini						Ilhéu Bombom, Ilha do Príncipe, Golfo da Guiné, África	1,698	7,404	7.404	1.698								Formol 10% -> Álcool 70%	1				<nO>Foto Gaparini / Coletado ao longo do Ilhéu Bombom / Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-12-15T10:28:34	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	4252	Animalia	Chordata			Gobiidae	Evorthodus	lyricus		Evorthodus lyricus	(Girard, 1858)		2020	11		H. Guabiroba & R. Andrades					H. Guabiroba & R. Andrades					Linhares	Rio Doce, Regência, Estuário (Interno)	-19,4064	-40,069420	-40.06942	-19.4064								Formol 10% --> Álcool 70%	1				<nO>Picaré + peneira / Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:58	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	1820	Animalia	Chordata			Paralichthyidae	Etropus	longimanus		Etropus longimanus	(Norman, 1933)		1996	06	12	J. L. Gasparini					L.M.Sarmento-Soares					Vitória	Penedos.Baía de Vitória	-20,319	-40,338	-40.338	-20.319								Álcool 70%	2				<nO>20º19'09"S /40º20'16"W; Presente;</nO>																					
2022-05-09T10:45:40	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	1669	Animalia	Chordata			Dactyloscopidae	Dactyloscopus	tridigitatus		Dactyloscopus tridigitatus	(Gill, 1859)		2003	10	27	R. L. Teixeira & E. H. de Barros					R. L. Teixeira					Vila Velha	Praia da Costa	-20,329	-40,292	-40.292	-20.329								Álcool 70%	6				<nO>20º19'46"S /40º17'32"W; Presente;</nO>																					
2022-05-09T10:45:37	PreservedSpecimen	França	85	UFES	CIUFES	1310	Animalia	Chordata			Blenniidae	Parablennius	gattorugine		Parablennius gattorugine	(Linnaeus, 1758)		2008	09	01	J-C. Joyeux					J.-C. Joyeux	2009	05	04		Les Sables D'Olonne	La Chaume	46,5	-1,81	-1.81	46.5								Formol 10% -> Álcool 70%	1				<nO>Coletado com puçá manual em poça de maré; 46N 29' 36" /01W 48' 51"; Presente;</nO>																					
2022-05-09T10:45:55	PreservedSpecimen	0		UFES	CIUFES	131605	Animalia	Chordata			Sciaenidae	Larimus	breviceps		Larimus breviceps	(Cuvier, 1830)																			0	0									1				<nO>Presente;</nO>																					
