ID,Full_Name,Genus,Species,Genus_species,NC
1709,"Enneapterygius nanus (Schultz in Schultz, Chapman, Lachner & Woods, 1960) ",Enneapterygius,nanus,Enneapterygius nanus,Present
1710,"Enneapterygius niger Fricke, 1994 ",Enneapterygius,niger,Enneapterygius niger,Present
1711,"Enneapterygius paucifasciatus Fricke, 1994 ",Enneapterygius,paucifasciatus,Enneapterygius paucifasciatus,Endemic
1712,"Enneapterygius philippinus (Peters, 1868) ",Enneapterygius,philippinus,Enneapterygius philippinus,Present
1713,"Enneapterygius rhabdotus Fricke, 1994 ",Enneapterygius,rhabdotus,Enneapterygius rhabdotus,Present
1714,"Enneapterygius rhothion Fricke, 1997 ",Enneapterygius,rhothion,Enneapterygius rhothion,Present
1715,"Enneapterygius rubicauda Shen in Shen & Wu, 1994 ",Enneapterygius,rubicauda,Enneapterygius rubicauda,Present
1716,"Enneapterygius rufopileus (Waite, 1904) ",Enneapterygius,rufopileus,Enneapterygius rufopileus,Present
1717,"Enneapterygius similis Fricke, 1997 ",Enneapterygius,similis,Enneapterygius similis,Present
1718,"Enneapterygius triserialis Fricke, 1994 ",Enneapterygius,triserialis,Enneapterygius triserialis,Present
1719,"Enneapterygius trisignatus Fricke, 2001 ",Enneapterygius,trisignatus,Enneapterygius trisignatus,Endemic
1720,"Enneapterygius tutuilae Jordan & Seale, 1906 ",Enneapterygius,tutuilae,Enneapterygius tutuilae,Present
1721,"Enneapterygius williamsi Fricke, 1997 ",Enneapterygius,williamsi,Enneapterygius williamsi,Present
1722,Helcogramma sp (to be described by J T Williams) ,Helcogramma,sp,Helcogramma sp,Present
1723,"Helcogramma gymnauchen (Weber, 1909) ",Helcogramma,gymnauchen,Helcogramma gymnauchen,Present
1724,"Helcogramma hudsoni (Jordan & Seale, 1906) ",Helcogramma,hudsoni,Helcogramma hudsoni,Present
1725,"Helcogramma novaecaledoniae Fricke, 1994 ",Helcogramma,novaecaledoniae,Helcogramma novaecaledoniae,Present
1726,"Helcogramma rhinoceros Hansen, 1986 ",Helcogramma,rhinoceros,Helcogramma rhinoceros,Present
1727,"Helcogramma trigloides (Bleeker, 1858) ",Helcogramma,trigloides,Helcogramma trigloides,Present
1728,"Norfolkia brachylepis (Schultz in Schultz, Chapman, Lachner & Woods, 1960) ",Norfolkia,brachylepis,Norfolkia brachylepis,Present
1729,"Norfolkia squamiceps (McCulloch & Waite, 1916) ",Norfolkia,squamiceps,Norfolkia squamiceps,Present
1730,"Norfolkia thomasi Whitley, 1964 ",Norfolkia,thomasi,Norfolkia thomasi,Present
1731,"Springerichthys kulbickii (Fricke & Randall in Fricke, 1994) ",Springerichthys,kulbickii,Springerichthys kulbickii,Present
1732,"Ucla xenogrammus Holleman, 1993 ",Ucla,xenogrammus,Ucla xenogrammus,Present
1733,Alticus sp (to be described by J T Williams) ,Alticus,sp,Alticus sp,Present
1734,"Alticus sertatus (Garman, 1903) ",Alticus,sertatus,Alticus sertatus,Present
1735,Andamia sp ,Andamia,sp,Andamia sp,Present
1736,"Andamia amphibius (Walbaum, 1792) ",Andamia,amphibius,Andamia amphibius,Present
1737,"Aspidontus dussumieri (Valenciennes in Cuvier & Valenciennes, 1836) ",Aspidontus,dussumieri,Aspidontus dussumieri,Present
1738,"Aspidontus taeniatus Quoy & Gaimard, 1834 ",Aspidontus,taeniatus,Aspidontus taeniatus,Present
1739,"Atrosalarias holomelas (Günther, 1872) ",Atrosalarias,holomelas,Atrosalarias holomelas,Present
1740,"Blenniella chrysospilos (Bleeker, 1857) ",Blenniella,chrysospilos,Blenniella chrysospilos,Present
1741,"Blenniella paula (Bryan & Herre, 1903) ",Blenniella,paula,Blenniella paula,Present
1742,"Blenniella periophthalmus (Valenciennes in Cuvier & Valenciennes, 1836) ",Blenniella,periophthalmus,Blenniella periophthalmus,Present
1743,"Cirripectes alboapicalis (Ogilby, 1899) ",Cirripectes,alboapicalis,Cirripectes alboapicalis,Present
1744,"Cirripectes castaneus (Valenciennes in Cuvier & Valenciennes, 1836) ",Cirripectes,castaneus,Cirripectes castaneus,Present
1745,"Cirripectes chelomatus Williams & Maugé, 1984 ",Cirripectes,chelomatus,Cirripectes chelomatus,Present
1746,"Cirripectes filamentosus (Alleyne & Macleay, 1877) ",Cirripectes,filamentosus,Cirripectes filamentosus,Present
1747,"Cirripectes fuscoguttatus Strasburg & Schultz, 1953 ",Cirripectes,fuscoguttatus,Cirripectes fuscoguttatus,Present
1748,"Cirripectes polyzona (Bleeker, 1868) ",Cirripectes,polyzona,Cirripectes polyzona,Present
1749,"Cirripectes stigmaticus Strasburg & Schultz, 1953 ",Cirripectes,stigmaticus,Cirripectes stigmaticus,Present
1750,"Crossosalarias macrospilus Smith-Vaniz & Springer, 1971 ",Crossosalarias,macrospilus,Crossosalarias macrospilus,Present
1751,"Ecsenius bicolor (Day [ex Tickell], 1888) ",Ecsenius,bicolor,Ecsenius bicolor,Present
1752,"Ecsenius fourmanoiri Springer, 1972 ",Ecsenius,fourmanoiri,Ecsenius fourmanoiri,Present
1753,"Ecsenius isos McKinney & Springer, 1976 ",Ecsenius,isos,Ecsenius isos,Present
1754,"Ecsenius midas Starck, 1969 ",Ecsenius,midas,Ecsenius midas,Present
1755,"Ecsenius stictus Springer, 1988 ",Ecsenius,stictus,Ecsenius stictus,Present
1756,"Ecsenius tessera Springer, 1988 ",Ecsenius,tessera,Ecsenius tessera,Present
1757,"Ecsenius yaeyamaensis (Aoyagi, 1954) ",Ecsenius,yaeyamaensis,Ecsenius yaeyamaensis,Present
1758,"Enchelyurus ater (Günther, 1877) ",Enchelyurus,ater,Enchelyurus ater,Present
1759,"Enchelyurus kraussii (Klunzinger, 1871) ",Enchelyurus,kraussii,Enchelyurus kraussii,Present
1760,"Entomacrodus caudofasciatus (Regan, 1909) ",Entomacrodus,caudofasciatus,Entomacrodus caudofasciatus,Present
1761,"Entomacrodus decussatus (Bleeker, 1858) ",Entomacrodus,decussatus,Entomacrodus decussatus,Present
1762,"Entomacrodus sealei Bryan & Herre, 1903 ",Entomacrodus,sealei,Entomacrodus sealei,Present
1763,"Entomacrodus striatus (Valenciennes [ex Quoy & Gaimard] in Cuvier & Valenciennes, 1836) ",Entomacrodus,striatus,Entomacrodus striatus,Present
1764,"Entomacrodus thalassinus (Jordan & Seale, 1906) ",Entomacrodus,thalassinus,Entomacrodus thalassinus,Present
1765,"Exallias brevis (Kner, 1868) ",Exallias,brevis,Exallias brevis,Present
1766,"Glyptoparus delicatulus Smith, 1959 ",Glyptoparus,delicatulus,Glyptoparus delicatulus,Present
1767,"Istiblennius dussumieri (Valenciennes in Cuvier & Valenciennes, 1836) ",Istiblennius,dussumieri,Istiblennius dussumieri,Present
1768,"Istiblennius edentulus (Schneider [ex Forster] in Bloch & Schneider, 1801) ",Istiblennius,edentulus,Istiblennius edentulus,Present
1769,"Istiblennius lineatus (Valenciennes in Cuvier & Valenciennes, 1836) ",Istiblennius,lineatus,Istiblennius lineatus,Present
1770,"Meiacanthus anema (Bleeker, 1852) ",Meiacanthus,anema,Meiacanthus anema,Present
1771,"Meiacanthus atrodorsalis (Günther, 1877) ",Meiacanthus,atrodorsalis,Meiacanthus atrodorsalis,Present
1772,"Meiacanthus bundoon Smith-Vaniz, 1976 ",Meiacanthus,bundoon,Meiacanthus bundoon,Present
1773,"Meiacanthus ditrema Smith-Vaniz, 1976 ",Meiacanthus,ditrema,Meiacanthus ditrema,Present
1774,"Meiacanthus grammistes (Valenciennes in Cuvier & Valenciennes, 1836) ",Meiacanthus,grammistes,Meiacanthus grammistes,Present
1775,"Meiacanthus phaeus Smith-Vaniz, 1976 ",Meiacanthus,phaeus,Meiacanthus phaeus,Present
1776,"Nannosalarias nativitatis (Regan, 1909) ",Nannosalarias,nativitatis,Nannosalarias nativitatis,Present
1777,"Omobranchus germaini (Sauvage, 1883) ",Omobranchus,germaini,Omobranchus germaini,Present
1778,"Omobranchus obliquus (Garman, 1903) ",Omobranchus,obliquus,Omobranchus obliquus,Present
1779,"Omox biporos Springer, 1972 ",Omox,biporos,Omox biporos,Present
1780,"Parablennius intermedius (Ogilby, 1915) ",Parablennius,intermedius,Parablennius intermedius,Present
1781,"Petroscirtes breviceps (Valenciennes in Cuvier & Valenciennes, 1836) ",Petroscirtes,breviceps,Petroscirtes breviceps,Present
1782,"Petroscirtes lupus (De Vis, 1886) ",Petroscirtes,lupus,Petroscirtes lupus,Present
1783,"Petroscirtes mitratus Rüppell, 1830 ",Petroscirtes,mitratus,Petroscirtes mitratus,Present
1784,"Petroscirtes variabilis Cantor, 1849 ",Petroscirtes,variabilis,Petroscirtes variabilis,Present
1785,"Petroscirtes xestus Jordan & Seale, 1906 ",Petroscirtes,xestus,Petroscirtes xestus,Present
1786,"Plagiotremus laudandus (Whitley, 1961) ",Plagiotremus,laudandus,Plagiotremus laudandus,Present
1787,"Plagiotremus rhinorhynchos (Bleeker, 1852) ",Plagiotremus,rhinorhynchos,Plagiotremus rhinorhynchos,Present
1788,"Plagiotremus tapeinosoma (Bleeker, 1857) ",Plagiotremus,tapeinosoma,Plagiotremus tapeinosoma,Present
1789,"Praealticus bilineatus (Peters, 1868) ",Praealticus,bilineatus,Praealticus bilineatus,Present
1790,"Rhabdoblennius snowi (Fowler, 1928) ",Rhabdoblennius,snowi,Rhabdoblennius snowi,Present
1791,"Salarias alboguttatus Kner, 1867 ",Salarias,alboguttatus,Salarias alboguttatus,Present
1792,"Salarias fasciatus (Bloch, 1786) ",Salarias,fasciatus,Salarias fasciatus,Present
1793,"Salarias guttatus Valenciennes in Cuvier & Valenciennes, 1836 ",Salarias,guttatus,Salarias guttatus,Present
1794,"Stanulus seychellensis Smith, 1959 ",Stanulus,seychellensis,Stanulus seychellensis,Present
1795,"Stanulus talboti Springer, 1968 ",Stanulus,talboti,Stanulus talboti,Present
1796,"Xiphasia setifer Swainson, 1839 ",Xiphasia,setifer,Xiphasia setifer,Present
1797,Springeratus sp (to be described by D F Hoese & R Fricke) ,Springeratus,sp,Springeratus sp,Endemic
1798,"Conidens samoensis (Steindachner, 1906) ",Conidens,samoensis,Conidens samoensis,Present
1799,"Diademichthys lineatus (Sauvage, 1883) ",Diademichthys,lineatus,Diademichthys lineatus,Present
1800,"Discotrema crinophilum Briggs, 1976 ",Discotrema,crinophilum,Discotrema crinophilum,Present
1801,Lepadichthys sp ,Lepadichthys,sp,Lepadichthys sp,Present
1802,"Lepadichthys frenatus Waite, 1904 ",Lepadichthys,frenatus,Lepadichthys frenatus,Present
1803,"Lepadichthys minor Briggs, 1955 ",Lepadichthys,minor,Lepadichthys minor,Present
1804,"Pherallodus indicus (Weber, 1913) ",Pherallodus,indicus,Pherallodus indicus,Present
1805,Callionymus sp (to be described by R Fricke) ,Callionymus,sp,Callionymus sp,Present
1806,"Callionymus brevianalis Fricke, 1983 ",Callionymus,brevianalis,Callionymus brevianalis,Present
1807,"Callionymus corallinus Gilbert, 1905 ",Callionymus,corallinus,Callionymus corallinus,Present
1808,"Callionymus enneactis Bleeker, 1879 ",Callionymus,enneactis,Callionymus enneactis,Present
1809,"Callionymus kanakorum Fricke, 2006 ",Callionymus,kanakorum,Callionymus kanakorum,Endemic
1810,"Callionymus keeleyi Fowler, 1941 ",Callionymus,keeleyi,Callionymus keeleyi,Present
1811,"Callionymus pleurostictus Fricke, 1982 ",Callionymus,pleurostictus,Callionymus pleurostictus,Present
1812,"Callionymus rivatoni Fricke, 1993 ",Callionymus,rivatoni,Callionymus rivatoni,Endemic
1813,"Callionymus simplicicornis Valenciennes in Cuvier & Valenciennes, 1837 ",Callionymus,simplicicornis,Callionymus simplicicornis,Present
1814,"Callionymus tethys Fricke, 1993 ",Callionymus,tethys,Callionymus tethys,Endemic
1815,"Diplogrammus goramensis (Bleeker, 1858) ",Diplogrammus,goramensis,Diplogrammus goramensis,Present
1816,"Protogrammus antipodus Fricke, 2006 ",Protogrammus,antipodus,Protogrammus antipodus,Endemic
1817,"Synchiropus circularis Fricke, 1984 ",Synchiropus,circularis,Synchiropus circularis,Present
1818,"Synchiropus morrisoni Schultz in Schultz, Chapman, Lachner & Woods, 1960 ",Synchiropus,morrisoni,Synchiropus morrisoni,Present
1819,"Synchiropus novaecaledoniae Fricke, 1993 ",Synchiropus,novaecaledoniae,Synchiropus novaecaledoniae,Endemic
1820,"Synchiropus ocellatus (Pallas, 1770) ",Synchiropus,ocellatus,Synchiropus ocellatus,Present
1821,"Synchiropus orstom Fricke, 2000 ",Synchiropus,orstom,Synchiropus orstom,Endemic
1822,"Synchiropus rameus (McCulloch, 1926) ",Synchiropus,rameus,Synchiropus rameus,Present
1823,"Synchiropus richeri Fricke, 2000 ",Synchiropus,richeri,Synchiropus richeri,Endemic
1824,"Synchiropus rubrovinctus (Gilbert, 1905) ",Synchiropus,rubrovinctus,Synchiropus rubrovinctus,Present
1825,"Synchiropus sechellensis Regan, 1908 ",Synchiropus,sechellensis,Synchiropus sechellensis,Present
1826,"Synchiropus signipinnis Fricke, 2000 ",Synchiropus,signipinnis,Synchiropus signipinnis,Endemic
1827,"Synchiropus splendidus (Herre, 1927) ",Synchiropus,splendidus,Synchiropus splendidus,Present
1828,"Synchiropus springeri Fricke, 1983 ",Synchiropus,springeri,Synchiropus springeri,Present
1829,"Centrodraco ornatus (Fourmanoir & Rivaton, 1979) ",Centrodraco,ornatus,Centrodraco ornatus,Present
1830,"Draconetta xenica Jordan & Fowler, 1903 ",Draconetta,xenica,Draconetta xenica,Present
1831,"Protogobius attiti Watson & Pöllabauer, 1998 ",Protogobius,attiti,Protogobius attiti,Endemic
1832,"Rhyacichthys guilberti Dingerkus & Séret, 1992 ",Rhyacichthys,guilberti,Rhyacichthys guilberti,Endemic
1833,"Bunaka gyrinoides (Bleeker, 1853) ",Bunaka,gyrinoides,Bunaka gyrinoides,Present
1834,"Butis amboinensis (Bleeker, 1853) ",Butis,amboinensis,Butis amboinensis,Present
1835,"Calumia godeffroyi (Günther, 1877) ",Calumia,godeffroyi,Calumia godeffroyi,Present
1836,"Eleotris acanthopoma Bleeker, 1853 ",Eleotris,acanthopoma,Eleotris acanthopoma,Present
1837,"Eleotris fusca (Bloch & Schneider [ex Forster], 1801) ",Eleotris,fusca,Eleotris fusca,Present
1838,"Eleotris macrocephala (Bleeker, 1857) ",Eleotris,macrocephala,Eleotris macrocephala,Present
1839,"Eleotris melanosoma Bleeker, 1852 ",Eleotris,melanosoma,Eleotris melanosoma,Present
1840,"Giuris margaritacea (Valenciennes in Cuvier & Valenciennes, 1837) ",Giuris,margaritacea,Giuris margaritacea,Present
1841,"Hypseleotris guentheri (Bleeker, 1875) ",Hypseleotris,guentheri,Hypseleotris guentheri,Present
1842,"Ophiocara porocephala (Valenciennes in Cuvier & Valenciennes, 1837) ",Ophiocara,porocephala,Ophiocara porocephala,Present
1843,"Oxyeleotris heterodon (Weber, 1907) ",Oxyeleotris,heterodon,Oxyeleotris heterodon,Present
1844,"Xenisthmus eirospilus Gill & Hoese, 2004 ",Xenisthmus,eirospilus,Xenisthmus eirospilus,Present
1845,"Xenisthmus polyzonatus (Klunzinger, 1871) ",Xenisthmus,polyzonatus,Xenisthmus polyzonatus,Present
1846,"Kraemeria samoensis Steindachner, 1906 ",Kraemeria,samoensis,Kraemeria samoensis,Present
1847,"Amblyeleotris bellicauda Randall, 2004 ",Amblyeleotris,bellicauda,Amblyeleotris bellicauda,Endemic
1848,"Amblyeleotris biguttata Randall, 2004 ",Amblyeleotris,biguttata,Amblyeleotris biguttata,Present
1849,"Amblyeleotris diagonalis Polunin & Lubbock, 1979 ",Amblyeleotris,diagonalis,Amblyeleotris diagonalis,Present
1850,"Amblyeleotris fasciata (Herre, 1953) ",Amblyeleotris,fasciata,Amblyeleotris fasciata,Present
1851,"Amblyeleotris fontanesii (Bleeker, 1852) ",Amblyeleotris,fontanesii,Amblyeleotris fontanesii,Present
1852,"Amblyeleotris guttata (Fowler, 1938) ",Amblyeleotris,guttata,Amblyeleotris guttata,Present
1853,"Amblyeleotris novaecaledoniae Goren, 1981 ",Amblyeleotris,novaecaledoniae,Amblyeleotris novaecaledoniae,Endemic
1854,"Amblyeleotris ogasawarensis Yanagisawa, 1978 ",Amblyeleotris,ogasawarensis,Amblyeleotris ogasawarensis,Present
1855,"Amblyeleotris periophthalma (Bleeker, 1853) ",Amblyeleotris,periophthalma,Amblyeleotris periophthalma,Present
1856,"Amblyeleotris randalli Hoese & Steene, 1978 ",Amblyeleotris,randalli,Amblyeleotris randalli,Present
1857,"Amblyeleotris rubrimarginata Mohlmann & Randall, 2002 ",Amblyeleotris,rubrimarginata,Amblyeleotris rubrimarginata,Present
1858,"Amblyeleotris steinitzi (Klausewitz, 1974) ",Amblyeleotris,steinitzi,Amblyeleotris steinitzi,Present
1859,"Amblyeleotris stenotaeniata Randall, 2004 ",Amblyeleotris,stenotaeniata,Amblyeleotris stenotaeniata,Endemic
1860,"Amblygobius decussatus (Bleeker, 1855) ",Amblygobius,decussatus,Amblygobius decussatus,Present
1861,"Amblygobius linki Herre, 1927 ",Amblygobius,linki,Amblygobius linki,Present
1862,"Amblygobius nocturnus (Herre, 1945) ",Amblygobius,nocturnus,Amblygobius nocturnus,Present
1863,"Amblygobius phalaena (Valenciennes in Cuvier & Valenciennes, 1837) ",Amblygobius,phalaena,Amblygobius phalaena,Present
1864,"Amblygobius sphynx (Valenciennes in Cuvier & Valenciennes, 1837) ",Amblygobius,sphynx,Amblygobius sphynx,Present
1865,"Amblygobius stethophthalmus (Bleeker, 1851) ",Amblygobius,stethophthalmus,Amblygobius stethophthalmus,Present
1866,"Amoya signatus (Peters, 1855) ",Amoya,signatus,Amoya signatus,Present
1867,"Asterropteryx ensifera (Bleeker, 1874) ",Asterropteryx,ensifera,Asterropteryx ensifera,Present
1868,"Asterropteryx semipunctata Rüppell, 1830 ",Asterropteryx,semipunctata,Asterropteryx semipunctata,Present
1869,"Asterropteryx spinosa (Goren, 1981) ",Asterropteryx,spinosa,Asterropteryx spinosa,Present
1870,"Awaous guamensis (Valenciennes in Cuvier & Valenciennes, 1837) ",Awaous,guamensis,Awaous guamensis,Present
1871,"Awaous ocellaris (Broussonet, 1782) ",Awaous,ocellaris,Awaous ocellaris,Present
1872,Barbuligobius sp ,Barbuligobius,sp,Barbuligobius sp,Present
1873,"Bathygobius coalitus (Bennett, 1832) ",Bathygobius,coalitus,Bathygobius coalitus,Present
1874,"Bathygobius cocosensis (Bleeker, 1854) ",Bathygobius,cocosensis,Bathygobius cocosensis,Present
1875,"Bathygobius cotticeps (Steindachner, 1879) ",Bathygobius,cotticeps,Bathygobius cotticeps,Present
1876,"Bathygobius cyclopterus (Valenciennes in Cuvier & Valenciennes, 1837) ",Bathygobius,cyclopterus,Bathygobius cyclopterus,Present
1877,"Bathygobius fuscus (Rüppell, 1830) ",Bathygobius,fuscus,Bathygobius fuscus,Present
1878,"Bryaninops amplus Larson, 1985 ",Bryaninops,amplus,Bryaninops amplus,Present
1879,"Bryaninops loki Larson, 1985 ",Bryaninops,loki,Bryaninops loki,Present
1880,"Bryaninops natans Larson, 1985 ",Bryaninops,natans,Bryaninops natans,Present
1881,"Bryaninops ridens Smith, 1959 ",Bryaninops,ridens,Bryaninops ridens,Present
1882,"Bryaninops yongei (Davis & Cohen, 1969) ",Bryaninops,yongei,Bryaninops yongei,Present
1883,"Cabillus tongarevae (Fowler, 1927) ",Cabillus,tongarevae,Cabillus tongarevae,Present
1884,"Callogobius hasseltii (Bleeker, 1851) ",Callogobius,hasseltii,Callogobius hasseltii,Present
1885,"Callogobius maculipinnis (Fowler, 1918) ",Callogobius,maculipinnis,Callogobius maculipinnis,Present
1886,"Callogobius sclateri (Steindachner, 1879) ",Callogobius,sclateri,Callogobius sclateri,Present
1887,"Cryptocentrus fasciatus (Playfair in Playfair & Günther, 1867) ",Cryptocentrus,fasciatus,Cryptocentrus fasciatus,Present
1888,"Cryptocentrus leptocephalus Bleeker, 1876 ",Cryptocentrus,leptocephalus,Cryptocentrus leptocephalus,Present
1889,"Cryptocentrus leucostictus (Günther, 1871) ",Cryptocentrus,leucostictus,Cryptocentrus leucostictus,Present
1890,"Cryptocentrus strigilliceps (Jordan & Seale, 1906) ",Cryptocentrus,strigilliceps,Cryptocentrus strigilliceps,Present
1891,"Ctenogobiops aurocingulus (Herre, 1935) ",Ctenogobiops,aurocingulus,Ctenogobiops aurocingulus,Present
1892,"Ctenogobiops feroculus Lubbock & Polunin, 1977 ",Ctenogobiops,feroculus,Ctenogobiops feroculus,Present
1893,"Ctenogobiops maculosus (Fourmanoir, 1955) ",Ctenogobiops,maculosus,Ctenogobiops maculosus,Present
1894,"Ctenogobiops pomastictus Lubbock & Polunin, 1977 ",Ctenogobiops,pomastictus,Ctenogobiops pomastictus,Present
1895,"Ctenotrypauchen microcephalus (Bleeker, 1860) ",Ctenotrypauchen,microcephalus,Ctenotrypauchen microcephalus,Present
1896,"Drombus triangularis (Weber, 1909) ",Drombus,triangularis,Drombus triangularis,Present
1897,"Eviota afelei Jordan & Seale, 1906 ",Eviota,afelei,Eviota afelei,Present
1898,"Eviota bifasciata Lachner & Karnella, 1980 ",Eviota,bifasciata,Eviota bifasciata,Present
1899,"Eviota cometa Jewett & Lachner, 1983 ",Eviota,cometa,Eviota cometa,Present
1900,"Eviota distigma Jordan & Seale, 1906 ",Eviota,distigma,Eviota distigma,Present
1901,"Eviota fasciola Karnella & Lachner, 1981 ",Eviota,fasciola,Eviota fasciola,Present
1902,"Eviota guttata Lachner & Karnella, 1978 ",Eviota,guttata,Eviota guttata,Present
1903,"Eviota herrei Jordan & Seale, 1906 ",Eviota,herrei,Eviota herrei,Present
1904,"Eviota hoesei Gill & Jewett, 2004 ",Eviota,hoesei,Eviota hoesei,Present
1905,"Eviota latifasciata Jewett & Lachner, 1983 ",Eviota,latifasciata,Eviota latifasciata,Present
1906,"Eviota melasma Lachner & Karnella, 1980 ",Eviota,melasma,Eviota melasma,Present
1907,"Eviota monostigma Fourmanoir, 1971 ",Eviota,monostigma,Eviota monostigma,Present
1908,"Eviota nebulosa Smith, 1958 ",Eviota,nebulosa,Eviota nebulosa,Present
1909,"Eviota nigriventris Giltay, 1933 ",Eviota,nigriventris,Eviota nigriventris,Present
1910,"Eviota pellucida Larson, 1976 ",Eviota,pellucida,Eviota pellucida,Present
1911,"Eviota prasina (Klunzinger, 1871) ",Eviota,prasina,Eviota prasina,Present
1912,"Eviota prasites Jordan & Seale, 1906 ",Eviota,prasites,Eviota prasites,Present
1913,"Eviota pseudostigma Lachner & Karnella, 1980 ",Eviota,pseudostigma,Eviota pseudostigma,Present
1914,"Eviota punctulata Jewett & Lachner, 1983 ",Eviota,punctulata,Eviota punctulata,Present
1915,"Eviota queenslandica Whitley, 1932 ",Eviota,queenslandica,Eviota queenslandica,Present
1916,"Eviota sebreei Jordan & Seale, 1906 ",Eviota,sebreei,Eviota sebreei,Present
1917,"Eviota smaragdus Jordan & Seale, 1906 ",Eviota,smaragdus,Eviota smaragdus,Present
1918,"Eviota sparsa Jewett & Lachner, 1983 ",Eviota,sparsa,Eviota sparsa,Present
1919,"Eviota zebrina Lachner & Karnella, 1978 ",Eviota,zebrina,Eviota zebrina,Present
1920,"Eviota zonura Jordan & Seale, 1906 ",Eviota,zonura,Eviota zonura,Present
1921,"Exyrias belissimus (Smith, 1959) ",Exyrias,belissimus,Exyrias belissimus,Present
1922,"Exyrias puntang (Bleeker, 1851) ",Exyrias,puntang,Exyrias puntang,Present
1923,"Favonigobius reichei (Bleeker, 1853) ",Favonigobius,reichei,Favonigobius reichei,Present
1924,"Fusigobius duospilus Hoese & Reader, 1985 ",Fusigobius,duospilus,Fusigobius duospilus,Present
1925,"Fusigobius gracilis (Randall, 2001) ",Fusigobius,gracilis,Fusigobius gracilis,Present
1926,"Fusigobius humeralis (Randall, 2001) ",Fusigobius,humeralis,Fusigobius humeralis,Present
1927,"Fusigobius inframaculatus Randall, 1994 ",Fusigobius,inframaculatus,Fusigobius inframaculatus,Present
1928,"Fusigobius maximus (Randall, 2001) ",Fusigobius,maximus,Fusigobius maximus,Present
1929,"Fusigobius melacron (Randall, 2001) ",Fusigobius,melacron,Fusigobius melacron,Present
1930,"Fusigobius neophytus (Günther, 1877) ",Fusigobius,neophytus,Fusigobius neophytus,Present
1931,"Fusigobius pallidus (Randall, 2001) ",Fusigobius,pallidus,Fusigobius pallidus,Present
1932,"Fusigobius signipinnis Hoese & Obika, 1988 ",Fusigobius,signipinnis,Fusigobius signipinnis,Present
1933,Gladiogobius sp ,Gladiogobius,sp,Gladiogobius sp,Present
1934,Glossogobius sp ,Glossogobius,sp,Glossogobius sp,Endemic
1935,"Glossogobius giuris (Hamilton, 1822) ",Glossogobius,giuris,Glossogobius giuris,Present
1936,"Gnatholepis anjerensis (Bleeker, 1851) ",Gnatholepis,anjerensis,Gnatholepis anjerensis,Present
1937,"Gnatholepis cauerensis (Bleeker, 1853) ",Gnatholepis,cauerensis,Gnatholepis cauerensis,Present
1938,"Gobiodon acicularis Harold & Winterbottom, 1995 ",Gobiodon,acicularis,Gobiodon acicularis,Present
1939,"Gobiodon axillaris De Vis, 1884 ",Gobiodon,axillaris,Gobiodon axillaris,Present
1940,"Gobiodon brochus Harold & Winterbottom, 1999 ",Gobiodon,brochus,Gobiodon brochus,Present
1941,"Gobiodon citrinus (Rüppell, 1838) ",Gobiodon,citrinus,Gobiodon citrinus,Present
1942,"Gobiodon histrio (Valenciennes in Cuvier & Valenciennes, 1837) ",Gobiodon,histrio,Gobiodon histrio,Present
1943,"Gobiodon multilineatus Wu, 1979 ",Gobiodon,multilineatus,Gobiodon multilineatus,Present
1944,"Gobiodon okinawae Sawada, Arai & Abe, 1972 ",Gobiodon,okinawae,Gobiodon okinawae,Present
1945,"Gobiodon quinquestrigatus (Valenciennes in Cuvier & Valenciennes, 1837) ",Gobiodon,quinquestrigatus,Gobiodon quinquestrigatus,Present
1946,"Gobiodon rivulatus (Rüppell, 1830) ",Gobiodon,rivulatus,Gobiodon rivulatus,Present
1947,"Gobiodon unicolor (Castelnau, 1873) ",Gobiodon,unicolor,Gobiodon unicolor,Present
1948,"Gobiopsis exigua Lachner & McKinney, 1979 ",Gobiopsis,exigua,Gobiopsis exigua,Present
1949,"Gobiopsis malekulae (Herre, 1935) ",Gobiopsis,malekulae,Gobiopsis malekulae,Present
1950,"Hemigobius hoevenii (Bleeker, 1851) ",Hemigobius,hoevenii,Hemigobius hoevenii,Present
1951,Hetereleotris sp ,Hetereleotris,sp,Hetereleotris sp,Present
1952,"Istigobius decoratus (Herre, 1927) ",Istigobius,decoratus,Istigobius decoratus,Present
1953,"Istigobius goldmanni (Bleeker, 1852) ",Istigobius,goldmanni,Istigobius goldmanni,Present
1954,"Istigobius nigroocellatus (Günther, 1873) ",Istigobius,nigroocellatus,Istigobius nigroocellatus,Present
1955,"Istigobius ornatus (Rüppell, 1830) ",Istigobius,ornatus,Istigobius ornatus,Present
1956,"Istigobius rigilius (Herre, 1953) ",Istigobius,rigilius,Istigobius rigilius,Present
1957,"Istigobius spence (Smith, 1947) ",Istigobius,spence,Istigobius spence,Present
1958,"Koumansetta hectori (Smith, 1957) ",Koumansetta,hectori,Koumansetta hectori,Present
1959,"Koumansetta rainfordi Whitley, 1940 ",Koumansetta,rainfordi,Koumansetta rainfordi,Present
1960,"Lentipes kaaea Watson, Keith & Marquet, 2002 ",Lentipes,kaaea,Lentipes kaaea,Present
1961,"Lubricogobius exiguus Tanaka, 1915 ",Lubricogobius,exiguus,Lubricogobius exiguus,Present
1962,"Lubricogobius ornatus Fourmanoir, 1966 ",Lubricogobius,ornatus,Lubricogobius ornatus,Present
