ID,Full_Name,Genus,Species,Genus_species,NC
857,"Howella sherborni (Norman, 1930) ",Howella,sherborni,Howella sherborni,Present
858,"Acropoma lecorneti Fourmanoir, 1988 ",Acropoma,lecorneti,Acropoma lecorneti,Present
859,"Doederleinia berycoides (Hilgendorf, 1879) ",Doederleinia,berycoides,Doederleinia berycoides,Present
860,"Neoscombrops pacificus Mochizuki, 1979 ",Neoscombrops,pacificus,Neoscombrops pacificus,Present
861,"Synagrops adeni Kotthaus, 1970 ",Synagrops,adeni,Synagrops adeni,Present
862,"Synagrops bellus (Goode & Bean, 1896) ",Synagrops,bellus,Synagrops bellus,Present
863,"Synagrops japonicus (Döderlein in Steindachner & Döderlein, 1883) ",Synagrops,japonicus,Synagrops japonicus,Present
864,"Synagrops philippinensis (Günther, 1880) ",Synagrops,philippinensis,Synagrops philippinensis,Present
865,"Symphysanodon maunaloae Anderson, 1970 ",Symphysanodon,maunaloae,Symphysanodon maunaloae,Present
866,"Aethaloperca rogaa (Forsskål in Niebuhr, 1775) ",Aethaloperca,rogaa,Aethaloperca rogaa,Present
867,"Anyperodon leucogrammicus (Valenciennes [ex Reinwardt] in Cuvier & Valenciennes, 1828) ",Anyperodon,leucogrammicus,Anyperodon leucogrammicus,Present
868,"Aporops bilinearis Schultz, 1943 ",Aporops,bilinearis,Aporops bilinearis,Present
869,"Belonoperca chabanaudi Fowler & Bean, 1930 ",Belonoperca,chabanaudi,Belonoperca chabanaudi,Present
870,"Caprodon schlegelii (Günther, 1859) ",Caprodon,schlegelii,Caprodon schlegelii,Present
871,"Cephalopholis argus Bloch & Schneider, 1801 ",Cephalopholis,argus,Cephalopholis argus,Present
872,"Cephalopholis aurantia (Valenciennes in Cuvier & Valenciennes, 1828) ",Cephalopholis,aurantia,Cephalopholis aurantia,Present
873,"Cephalopholis boenak (Bloch, 1790) ",Cephalopholis,boenak,Cephalopholis boenak,Present
874,"Cephalopholis igarashiensis Katayama, 1957 ",Cephalopholis,igarashiensis,Cephalopholis igarashiensis,Present
875,"Cephalopholis leopardus (Lacepède [ex Commerson], 1801) ",Cephalopholis,leopardus,Cephalopholis leopardus,Present
876,"Cephalopholis microprion (Bleeker, 1852) ",Cephalopholis,microprion,Cephalopholis microprion,Present
877,"Cephalopholis miniata (Forsskål in Niebuhr, 1775) ",Cephalopholis,miniata,Cephalopholis miniata,Present
878,"Cephalopholis sexmaculata (Rüppell, 1830) ",Cephalopholis,sexmaculata,Cephalopholis sexmaculata,Present
879,"Cephalopholis sonnerati (Valenciennes in Cuvier & Valenciennes, 1828) ",Cephalopholis,sonnerati,Cephalopholis sonnerati,Present
880,"Cephalopholis spiloparaea (Valenciennes in Cuvier & Valenciennes, 1828) ",Cephalopholis,spiloparaea,Cephalopholis spiloparaea,Present
881,"Cephalopholis urodeta (Bloch & Schneider [ex Forster], 1801) ",Cephalopholis,urodeta,Cephalopholis urodeta,Present
882,"Chelidoperca lecromi Fourmanoir, 1982 ",Chelidoperca,lecromi,Chelidoperca lecromi,Present
883,"Chelidoperca margaritifera Weber, 1913 ",Chelidoperca,margaritifera,Chelidoperca margaritifera,Present
884,"Cromileptes altivelis (Valenciennes in Cuvier & Valenciennes, 1828) ",Cromileptes,altivelis,Cromileptes altivelis,Present
885,"Diploprion bifasciatum Cuvier [ex Kuhl & Hasselt] in Cuvier & Valenciennes, 1828 ",Diploprion,bifasciatum,Diploprion bifasciatum,Present
886,"Epinephelus areolatus (Forsskål in Niebuhr, 1775) ",Epinephelus,areolatus,Epinephelus areolatus,Present
887,"Epinephelus chlorostigma (Valenciennes in Cuvier & Valenciennes, 1828) ",Epinephelus,chlorostigma,Epinephelus chlorostigma,Present
888,"Epinephelus coeruleopunctatus (Bloch, 1790) ",Epinephelus,coeruleopunctatus,Epinephelus coeruleopunctatus,Present
889,"Epinephelus coioides (Hamilton, 1822) ",Epinephelus,coioides,Epinephelus coioides,Present
890,"Epinephelus corallicola (Valenciennes [ex Kuhl & Hasselt] in Cuvier & Valenciennes, 1828) ",Epinephelus,corallicola,Epinephelus corallicola,Present
891,"Epinephelus cyanopodus (Richardson, 1846) ",Epinephelus,cyanopodus,Epinephelus cyanopodus,Present
892,"Epinephelus fuscoguttatus (Forsskål in Niebuhr, 1775) ",Epinephelus,fuscoguttatus,Epinephelus fuscoguttatus,Present
893,"Epinephelus hexagonatus (Bloch & Schneider [ex Forster], 1801) ",Epinephelus,hexagonatus,Epinephelus hexagonatus,Present
894,"Epinephelus howlandi (Günther, 1873) ",Epinephelus,howlandi,Epinephelus howlandi,Present
895,"Epinephelus lanceolatus (Bloch, 1790) ",Epinephelus,lanceolatus,Epinephelus lanceolatus,Present
896,"Epinephelus macrospilos (Bleeker, 1855) ",Epinephelus,macrospilos,Epinephelus macrospilos,Present
897,"Epinephelus maculatus (Bloch, 1790) ",Epinephelus,maculatus,Epinephelus maculatus,Present
898,"Epinephelus magniscuttis Postel, Fourmanoir & Guézé, 1963 ",Epinephelus,magniscuttis,Epinephelus magniscuttis,Present
899,"Epinephelus malabaricus (Bloch & Schneider, 1801) ",Epinephelus,malabaricus,Epinephelus malabaricus,Present
900,"Epinephelus marginalis (Bloch, 1793) ",Epinephelus,marginalis,Epinephelus marginalis,Present
901,"Epinephelus merra Bloch, 1793 ",Epinephelus,merra,Epinephelus merra,Present
902,"Epinephelus morrhua (Valenciennes in Cuvier & Valenciennes, 1833) ",Epinephelus,morrhua,Epinephelus morrhua,Present
903,"Epinephelus octofasciatus Griffin, 1926 ",Epinephelus,octofasciatus,Epinephelus octofasciatus,Present
904,"Epinephelus ongus (Bloch, 1790) ",Epinephelus,ongus,Epinephelus ongus,Present
905,"Epinephelus polyphekadion (Bleeker, 1849) ",Epinephelus,polyphekadion,Epinephelus polyphekadion,Present
906,"Epinephelus retouti Bleeker, 1868 ",Epinephelus,retouti,Epinephelus retouti,Present
907,"Epinephelus rivulatus (Valenciennes in Cuvier & Valenciennes, 1830) ",Epinephelus,rivulatus,Epinephelus rivulatus,Present
908,"Epinephelus spilotoceps Schultz in Schultz, Herald, Lachner, Welander & Woods, 1953 ",Epinephelus,spilotoceps,Epinephelus spilotoceps,Present
909,"Epinephelus tauvina (Forsskål in Niebuhr, 1775) ",Epinephelus,tauvina,Epinephelus tauvina,Present
910,"Gracila albomarginata (Fowler & Bean, 1930) ",Gracila,albomarginata,Gracila albomarginata,Present
911,"Grammistes sexlineatus (Thunberg, 1792) ",Grammistes,sexlineatus,Grammistes sexlineatus,Present
912,"Grammistops ocellatus Schultz in Schultz, Herald, Lachner, Welander & Woods, 1953 ",Grammistops,ocellatus,Grammistops ocellatus,Present
913,"Liopropoma susumi (Jordan & Seale, 1906) ",Liopropoma,susumi,Liopropoma susumi,Present
914,"Liopropoma tonstrinum Randall & Taylor, 1988 ",Liopropoma,tonstrinum,Liopropoma tonstrinum,Present
915,Luzonichthys sp ,Luzonichthys,sp,Luzonichthys sp,Present
916,"Luzonichthys waitei (Fowler, 1931) ",Luzonichthys,waitei,Luzonichthys waitei,Present
917,"Luzonichthys whitleyi (Smith, 1955) ",Luzonichthys,whitleyi,Luzonichthys whitleyi,Present
918,"Luzonichthys williamsi Randall & McCosker, 1992 ",Luzonichthys,williamsi,Luzonichthys williamsi,Endemic
919,"Plectranthias foresti Fourmanoir, 1977 ",Plectranthias,foresti,Plectranthias foresti,Present
920,"Plectranthias fourmanoiri Randall, 1980 ",Plectranthias,fourmanoiri,Plectranthias fourmanoiri,Present
