Group,,Scientific Name,English Name
,254,Epinephelus rivulatus,"Halfmoon Grouper, Halfmoon Rockcod, 
 White-dotted Grouper, Chinaman Rockcod"
,255,Epinephelus sexfasciatus,"Sixbar Grouper, Sixbar Rockcod, 
 Six-banded Rock-cod, Six-banded Rock Cod"
,256,Epinephelus tauvina,"Greasy Grouper, Speckled Rockcod, Estuary Rock-cod, Greasy Rockcod, Green Grouper, Reef Cod, Giant Grouper, Spotted Grouper"
,257,Fistularia commersonii,"Bluespotted Cornetfish, Smooth Flutemouth, Coronet, Flutefish, Flutemouth, Reef Cornetfish, Smooth Cornetfish, Cornetfish"
,258,Forcipiger flavissimus,"Big long-nosed Butterflyfish, Forcepsfish, Forceps Fish, Long Nose Butterfly, Long-nose Butterflyfish,"
,259,Forcipiger longirostris,Longnose butterflyfish
,260,Gnathanodon speciosus,"Golden Trevally, Golden Toothless Trevally"
,261,Gnathodentex aureolineatus,"Striped large-eye bream, Gold-lined Sea Bream, Yellowspot Emperor , Goldspot Emperor"
,262,Gomphosus caeruleus,"Birdfish, Bird wrasse, Blue green bird wrasse, Checkerboard wrasse, Green birdmouth wrasse, Indian Ocean bird wrasse"
,263,Gomphosus varius,"Bird-nose wrasse, Bird wrasse, Brown bird wrasse, Olive club-nosed wrasse, Purple club-nosed wrasse"
,264,Gracila albomarginata,"Masked Grouper, White-square Grouper, Red-edged Rockcod, Slenderspine Grouper, Thinspine Grouper, Thinspine Rockcod, White-margined Grouper, Rededged Cod"
,265,Gymnocranius euanus,Japanese large-eye bream
,266,Gymnocranius grandoculis,Blue-lined large-eye bream
,267,Gymnosarda unicolor,Dogtooth tuna
,268,Gymnothorax flavimarginatus,Yellow-edged moray
,269,Gymnothorax javanicus,Giant moray
,270,Halichoeres biocellatus,"False-eyed wrasse, Red-lined wrasse, Redlined wrasse, Two-spotted wrasse"
,271,Halichoeres chloropterus,"Dark-blotch wrasse, Java wrasse, Pastel-green wrasse"
,272,Halichoeres chrysus,"Canary wrasse, Golden rainbow fish, Golden wrasse, Yellow wrasse"
,273,Halichoeres hortulanus,"Checkerboard wrasse, Four-spot wrasse, Rainbowfish, Wall wrasse"
,274,Halichoeres margaritaceus,Pink-belly wrasse
,275,Halichoeres marginatus,"Dusky wrasse, Two-eyed Wrasse, Splendid Rainbow Wrasse"
,276,Halichoeres melanochir,Orangefin wrasse
,277,Halichoeres melanurus,"Hoeven's wrasse, Pinstriped wrasse, Tail-spot wrasse, Three-eyed wrasse, Yellow-tailed wrasse"
,278,Halichoeres melasmapomus,"Black-ear wrasse, Cheekspot wrasse, Earmuff wrasse, Ocellated wrasse"
,279,Halichoeres miniatus,Circle-cheek wrasse
,280,Halichoeres nebulosus,Nebulous wrasse
,281,Halichoeres ornatissimus,Ornamented wrasse
,282,Halichoeres pallidus,Pale wrasse
,283,Halichoeres papilionaceus,Schwatz's Wrasse
,284,Halichoeres prosopeion,Twotone wrasse
,285,Halichoeres richmondi,Richmond's wrasse
,286,Halichoeres scapularis,Zigzag wrasse
,287,Halichoeres trimaculatus,Threespot wrasse
,288,Halichoeres zeylonicus,"Ceylon wrasse, Goldstripe wrasse, Sri Lankan wrasse"
,289,Helcogramma striatum,Tropical striped triplefin
,290,Hemigymnus fasciatus,"Banded thicklip, Barred thicklip, Barred thicklip wrasse, Barred wrasse, Five-banded wrasse"
,291,Hemigymnus melapterus,Blackeye thicklip
,292,Hemitaurichthys polylepis,Pyramid butterflyfish
,293,Hemitaurichthys zoster,"Brown-and-white butterflyfish, Brown-and-white Butterflyfish, Brown-and-white Butterflyfish, Brushtooth Butterflyfish, Pyramid Butterflyfish"
,294,Heniochus acuminatus,"Pennant coralfish, Bannerfish, Featherfin Coralfish, Longfin Bannerfish, Pennant Bannerfish, Pennant Coralfish, Pennant Coralfish, Coachman, Reef Bannerfish, Wimple Fish"
,295,Heniochus chrysostomus,"Horned Bannerfish, Horned Coralfish, Pennant Bannerfish, Threeband Pennant, Threeband Pennantfish, Threeband"
,296,Heniochus diphreutes,False moorish idol
,297,Heniochus pleurotaenia,Phantom bannerfish
,298,Heniochus singularius,Singular bannerfish
,299,Heniochus varius,Horned bannerfish
,300,Heteroconger hassi,Spotted garden-eel
,301,Hipposcarus longiceps,Pacific longnose parrotfish
,302,Histiopterus typus,Sailfin armourhead
,303,Hologymnosus annulatus,Ring wrasse
,304,Hologymnosus doliatus,Pastel ringwrasse
,305,Kyphosus cinerascens,Blue seachub
,306,Kyphosus vaigiensis,Brassy chub
,307,Labrichthys unilineatus,Tubelip wrasse
,308,Labroides bicolor,Bicolor cleaner wrasse
,309,Labroides dimidiatus,Bluestreak cleaner wrasse
,310,Labroides pectoralis,Blackspot cleaner wrasse
,311,Labropsis micronesica,Micronesian wrasse
,312,Labropsis xanthonota,Yellowback tubelip
,313,Leptojulis cyanopleura,Shoulder-spot wrasse
,314,Leptoscarus vaigiensis,Marbled parrotfish
,315,Lethrinus erythropterus,Longfin emperor
,316,Lethrinus genivittatus,Longspine emperor
,317,Lethrinus harak,Thumbprint emperor
,318,Lethrinus mahsena,Sky emperor
,319,Lethrinus microdon,Smalltooth emperor
,320,Lethrinus miniatus,Trumpet emperor
,321,Lethrinus nebulosus,Spangled emperor
,322,Lethrinus obsoletus,Orange-striped emperor
,323,Lethrinus olivaceus,Longface emperor
,324,Lutjanus argentimaculatus,Mangrove red snapper
,325,Lutjanus biguttatus,Two-spot banded snapper
,326,Lutjanus bohar,Two-spot red snapper
,327,Lutjanus decussatus,Checkered snapper
,328,Lutjanus fulviflamma,Dory snapper
,329,Lutjanus fulvus,Blacktail snapper
,330,Lutjanus gibbus,Humpback red snapper
,331,Lutjanus kasmira,Common bluestripe snapper
,332,Lutjanus lunulatus,Lunartail snapper
,333,Lutjanus lutjanus,Bigeye snapper
,334,Lutjanus monostigma,Onespot snapper
