Family,Species Name,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19_ 20,21,22,23_24,25,26_27,28,29,30,31,32_33,34,35,36,LT2,37,LT3,38,LT4,39,LT5,40,41,42,43,44,45,46,47,48,49
,Seriola rivoliana,,,,,,,,,,,,c,,,,,,,,nuc,r,,,,,,,,,,,,,,,,,,,,r,,,,,,,
,Trachinotus rhodopus,,,,,,,c,nuc,,c,,c,c,c,nuc,,,nuc,,,nuc,,,,,,c,c,,nuc,,,,,,,,nuc,,,nuc,,j nuc,c,,,,c
Lutjanidae,Hoplopagrus guentherii,,nuc,,c,,,,,,,,nuc,nuc,nuc,r,,,nuc,,,,,,,,,r,r,,,,,c,nuc,nuc,r,nuc,r,,,,,,nuc,,,nuc,
,Lutjanus aratus,,c,,,c,,,,,,,,,,,,,nuc,,,,,,,,,r,,,,,,c,,c,,,,,,,,,r,,,,
,Lutjanus argentiventris,c,c,c,c,c,c,c,c,c,c,,c,c,c,c,r,c,c,a,c,c,c,c,c,c,,c,c,c,c,nuc,c,c,c,c,c,c,c,,nuc,c,c,,c,nuc,c,c,
,Lutjanus guttatus,,,,c,,,,,,,,,,c,,c,,,,,nuc,,c,,,,,r,nuc,,,,,c,r,nuc,r,,,,,,,,c,,,nuc
,Lutjanus inermis,,c,,c,,,,c,,,,c,,c,,,,nuc,,,,,,,,,,,c,,,,,,,,,c,,,,,,,,nuc,,
,Lutjanus novemfasciatus,,c,c,nuc,c,,,,,,,nuc,,nuc,,,,r,nuc,nuc,r,,,r,,,nuc,nuc,c,nuc,,,nuc,nuc,c,r,c,c,nuc,,,,,nuc,,nuc,,
,Lutjanus viridis,c,c,,c,,,,c,,c,,c,c,c,,,,c,,,c,nuc,,,,,c,,c,c,,c,,c,,,,c,,nuc,c,nuc,,c,,,,
Gerreidae,Diapterus peruvianus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,c,,,,,,,,,,,,,
,Eucinostomus californiensis,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,c,,,,,nuc
,Eucinostomus currani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,c,,c,,,,,,c,,,,,
,Eucinostomus entomelas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuc
,Gerres cinereus,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haemulidae,Anisotremus caesius,,nuc,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuc,,
,Anisotremus interruptus,,,,,,,nuc,nuc,,,,nuc,,nuc,,,,nuc,nuc,nuc,nuc,,,nuc,,,r,,,nuc,,,,,,,,,,,,,,nuc,,,,
,Anisotremus taeniatus,,,,,,,,c,,,,c,,,r,,,,,,nuc,,,,,,,,,nuc,,,,,,,,,,,,,,,,,r,
,Haemulon flaviguttatum,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,
,Haemulon maculicauda,,,,c,,c,c,c,,,,c,,c,c,,c,a,a,,c,c,c,nuc,,c,nuc,c,c,c,,c,,c,,c,,c,,,c,c,,,,c,c,nuc
,Haemulon scudderi,,,,c,,,,,,,,,,,r,,,c,,,,,,,,,,,,,,,,,c,,nuc,,,,,,,,,,,
,Haemulon sexfasciatum,,nuc,,c,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,
,Haemulon steindachneri,,,,,,,,,,,,,,,c,,,,nuc,,,,,,,,,,,,,,,,,,nuc,,,,,,,,,,,
,Haemulopsis leuciscus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuc,,,,,
,Microlepidotus brevipinnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n
,Pomadasys bayanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,
,Pomadasys branickii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,c,,nuc,,,,,,,,,,,
,Pomadasys macracanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,
,Xenichthys xanti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuc,,,,,
Sciaenidae,Odontoscion xanthops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuc,,
,Umbrina dorsalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuc
Polynemidae,Polydactylus approximans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuc,,,,,
