Family,Species,English,Species_indicator_list,Feeding_guild_code,Survey_Date,Year,Transect,Depth,Site,Actual_size,Amount,Size_Class,Median_size_class,Biomass_g
Acanthuridae,Acanthurus.sp,Surgeonfish,Yes,HV,12/1/2021,2021,ARM04_5m_2,5m,ARM04,NA,1,1,3,0.700830043
Chaetodontidae,Chaetodon.citrinellus,Speckled.Butterflyfish,Yes,IN,12/13/2017,2017,ARM03_15m_3,15m,ARM03,NA,1,1,3,0.83271104
Chaetodontidae,Chaetodon.citrinellus,Speckled.Butterflyfish,Yes,IN,11/20/2019,2019,ARM07_5m_2,5m,ARM07,NA,1,1,3,0.83271104
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,11/15/2014,2014,ARM11_2m_1,2m,ARM11,NA,1,6,55,0.270331777
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,11/15/2014,2014,ARM11_2m_1,2m,ARM11,NA,1,6,55,0.270331777
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,11/28/2016,2016,ARM08_15m_1,15m,ARM08,NA,1,6,55,0.270331777
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,11/29/2016,2016,ARM03_15m_2,15m,ARM03,NA,1,6,55,0.270331777
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/13/2017,2017,ARM03_15m_2,15m,ARM03,NA,1,6,55,0.270331777
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/21/2017,2017,ARM08_5m_2,5m,ARM08,NA,1,6,55,0.270331777
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,1/7/2020,2019,ARM04_15m_3,15m,ARM04,NA,1,6,55,0.270331777
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,11/25/2019,2019,ARM05_5m_2,5m,ARM05,NA,1,6,55,0.270331777
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,11/20/2019,2019,ARM07_15m_3,15m,ARM07,NA,1,6,55,0.270331777
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,11/23/2019,2019,ARM12_5m_2,5m,ARM12,NA,1,6,55,0.270331777
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,11/16/2021,2021,ARM07_5m_2,5m,ARM07,NA,1,6,55,0.270331777
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,11/17/2021,2021,ARM06_15m_1,15m,ARM06,NA,1,6,55,0.270331777
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,11/18/2021,2021,ARM02_15m_2,15m,ARM02,NA,1,6,55,0.270331777
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,11/26/2021,2021,ARM08_5m_2,5m,ARM08,NA,1,6,55,0.270331777
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,11/30/2021,2021,ARM04_15m_3,15m,ARM04,NA,1,6,55,0.270331777
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/22/2021,2021,ARM12_5m_2,5m,ARM12,NA,1,6,55,0.270331777
Labridae,Oxycheilinus.digramma,Cheeklined.Splendour.Wrasse,Yes,IN,11/14/2014,2014,ARM03_5m_1,5m,ARM03,NA,1,1,3,0.887797287
Labridae,Oxycheilinus.digramma,Cheeklined.Splendour.Wrasse,Yes,IN,11/14/2014,2014,ARM04_5m_1,5m,ARM04,NA,1,1,3,0.887797287
Tetraodontidae,other.pufferfish,other.pufferfish,Yes,IN,12/18/2017,2017,ARM01_5m_1,5m,ARM01,NA,1,1,3,0.869554524
Tetraodontidae,other.pufferfish,other.pufferfish,Yes,IN,12/18/2017,2017,ARM01_5m_3,5m,ARM01,NA,1,1,3,0.869554524
Tetraodontidae,other.pufferfish,other.pufferfish,Yes,IN,11/23/2019,2019,ARM01_15m_1,15m,ARM01,NA,1,1,3,0.869554524
Acanthuridae,Ctenochaetus.sp,Bristletooth,Yes,HV,10/31/2014,2014,ARM01_5m_1,5m,ARM01,NA,1,1,3,1.54266546
Acanthuridae,Ctenochaetus.sp,Bristletooth,Yes,HV,11/3/2014,2014,ARM06_5m_1,5m,ARM06,NA,1,1,3,1.54266546
Acanthuridae,Ctenochaetus.sp,Bristletooth,Yes,HV,11/16/2014,2014,ARM05_5m_1,5m,ARM05,NA,1,1,3,1.54266546
Acanthuridae,Ctenochaetus.sp,Bristletooth,Yes,HV,12/2/2016,2016,ARM12_5m_2,5m,ARM12,NA,1,1,3,1.54266546
Acanthuridae,Ctenochaetus.sp,Bristletooth,Yes,HV,12/14/2017,2017,ARM12_5m_2,5m,ARM12,NA,1,1,3,1.54266546
Acanthuridae,Ctenochaetus.sp,Bristletooth,Yes,HV,12/16/2017,2017,ARM04_5m_3,5m,ARM04,NA,1,1,3,1.54266546
Acanthuridae,Ctenochaetus.sp,Bristletooth,Yes,HV,12/16/2017,2017,ARM04_15m_1,15m,ARM04,NA,1,1,3,1.54266546
Acanthuridae,Ctenochaetus.sp,Bristletooth,Yes,HV,12/18/2017,2017,ARM01_15m_2,15m,ARM01,NA,1,1,3,1.54266546
Acanthuridae,Ctenochaetus.sp,Bristletooth,Yes,HV,12/20/2017,2017,ARM02_15m_1,15m,ARM02,NA,1,1,3,1.54266546
Acanthuridae,Ctenochaetus.sp,Bristletooth,Yes,HV,12/21/2017,2017,ARM08_15m_3,15m,ARM08,NA,1,1,3,1.54266546
Acanthuridae,Ctenochaetus.sp,Bristletooth,Yes,HV,12/22/2017,2017,ARM06_15m_1,15m,ARM06,NA,1,1,3,1.54266546
Acanthuridae,Ctenochaetus.sp,Bristletooth,Yes,HV,11/18/2019,2019,ARM01_5m_3,5m,ARM01,NA,1,1,3,1.54266546
Acanthuridae,Ctenochaetus.sp,Bristletooth,Yes,HV,1/9/2020,2019,ARM03_15m_2,15m,ARM03,NA,1,1,3,1.54266546
Acanthuridae,Ctenochaetus.sp,Bristletooth,Yes,HV,11/25/2019,2019,ARM03_5m_2,5m,ARM03,NA,1,1,3,1.54266546
Acanthuridae,Ctenochaetus.sp,Bristletooth,Yes,HV,1/7/2020,2019,ARM04_15m_2,15m,ARM04,NA,1,1,3,1.54266546
Acanthuridae,Ctenochaetus.sp,Bristletooth,Yes,HV,1/7/2020,2019,ARM04_15m_3,15m,ARM04,NA,1,1,3,1.54266546
Acanthuridae,Ctenochaetus.sp,Bristletooth,Yes,HV,1/7/2020,2019,ARM04_5m_3,5m,ARM04,NA,1,1,3,1.54266546
Acanthuridae,Ctenochaetus.sp,Bristletooth,Yes,HV,11/19/2019,2019,ARM06_15m_2,15m,ARM06,NA,1,1,3,1.54266546
Acanthuridae,Ctenochaetus.sp,Bristletooth,Yes,HV,11/19/2019,2019,ARM06_5m_3,5m,ARM06,NA,1,1,3,1.54266546
Acanthuridae,Ctenochaetus.sp,Bristletooth,Yes,HV,11/21/2019,2019,ARM08_5m_1,5m,ARM08,NA,1,1,3,1.54266546
