OpCode,Family,Species,Longitude,Latitude
BR14,Blenniidae,Plagiotremus tapeinosoma,46.212222,-9.441707
BR14,Mullidae,Parupeneus trifasciatus,46.212222,-9.441707
BR14,Mullidae,Parupeneus macronemus,46.212222,-9.441707
BR14,Mullidae,Parupeneus cyclostomus,46.212222,-9.441707
BR14,Mullidae,Parupeneus barberinus,46.212222,-9.441707
BR14,Cirrhitidae,Paracirrhites arcatus,46.212222,-9.441707
BR14,Ostraciidae,Ostracion meleagris,46.212222,-9.441707
BR14,Balistidae,Odonus niger,46.212222,-9.441707
BR14,Carcharhinidae,Negaprion acutidens,46.212222,-9.441707
BR14,Acanthuridae,Naso elegans,46.212222,-9.441707
BR14,Acanthuridae,Naso brevirostris,46.212222,-9.441707
BR14,Balistidae,Melichthys niger,46.212222,-9.441707
BR14,Labridae,Macropharyngodon bipartitus,46.212222,-9.441707
BR14,Lutjanidae,Lutjanus bohar,46.212222,-9.441707
BR14,Lethrinidae,Lethrinus xanthochilus,46.212222,-9.441707
BR14,Lethrinidae,Lethrinus rubrioperculatus,46.212222,-9.441707
BR14,Lethrinidae,Lethrinus microdon,46.212222,-9.441707
BR14,Pomacentridae,Lepidozygus tapeinosoma,46.212222,-9.441707
BR14,Labridae,Labroides dimidiatus,46.212222,-9.441707
BR14,Labridae,Labroides bicolor,46.212222,-9.441707
BR14,Chaetodontidae,Hemitaurichthys zoster,46.212222,-9.441707
BR14,Labridae,Halichoeres hortulanus,46.212222,-9.441707
BR14,Labridae,Halichoeres cosmetus,46.212222,-9.441707
BR14,Labridae,Gomphosus caeruleus,46.212222,-9.441707
BR14,Chaetodontidae,Forcipiger flavissimus,46.212222,-9.441707
BR14,Serranidae,Epinephelus tukula,46.212222,-9.441707
BR14,Acanthuridae,Ctenochaetus truncatus,46.212222,-9.441707
BR14,Acanthuridae,Ctenochaetus striatus,46.212222,-9.441707
BR14,Labridae,Coris formosa,46.212222,-9.441707
BR14,Labridae,Coris aygula,46.212222,-9.441707
BR14,Pomacentridae,Chromis ternatensis,46.212222,-9.441707
BR14,Pomacentridae,Chromis nigrura,46.212222,-9.441707
BR14,Pomacentridae,Chromis fieldi,46.212222,-9.441707
BR14,Scaridae,Chlorurus sordidus,46.212222,-9.441707
BR14,Cheloniidae,Chelonia sp,46.212222,-9.441707
BR14,Cheloniidae,Chelonia mydas,46.212222,-9.441707
BR14,Chaetodontidae,Chaetodon zanzibarensis,46.212222,-9.441707
BR14,Chaetodontidae,Chaetodon trifasciatus,46.212222,-9.441707
BR14,Chaetodontidae,Chaetodon meyeri,46.212222,-9.441707
BR14,Chaetodontidae,Chaetodon madagaskariensis,46.212222,-9.441707
BR14,Chaetodontidae,Chaetodon lunula,46.212222,-9.441707
BR14,Chaetodontidae,Chaetodon guttatissimus,46.212222,-9.441707
BR14,Chaetodontidae,Chaetodon auriga,46.212222,-9.441707
BR14,Serranidae,Cephalopholis nigripinnis,46.212222,-9.441707
BR14,Serranidae,Cephalopholis miniata,46.212222,-9.441707
BR14,Serranidae,Cephalopholis argus,46.212222,-9.441707
BR14,Pomacanthidae,Centropyge multispinis,46.212222,-9.441707
BR14,Carcharhinidae,Carcharhinus melanopterus,46.212222,-9.441707
BR14,Carcharhinidae,Carcharhinus amblyrhynchos,46.212222,-9.441707
BR14,Carangidae,Caranx sp,46.212222,-9.441707
BR14,Carangidae,Caranx melampygus,46.212222,-9.441707
BR14,Carangidae,Caranx ignobilis,46.212222,-9.441707
BR14,Carangidae,Carangoides orthogrammus,46.212222,-9.441707
BR14,Carangidae,Carangoides ferdau,46.212222,-9.441707
BR14,Monacanthidae,Cantherhines dumerilii,46.212222,-9.441707
BR14,Labridae,Bodianus diana,46.212222,-9.441707
BR14,Labridae,Bodianus bilunulatus,46.212222,-9.441707
BR14,Balistidae,Balistoides viridescens,46.212222,-9.441707
BR14,Balistidae,Balistapus undulatus,46.212222,-9.441707
BR14,Blenniidae,Aspidontus tractus,46.212222,-9.441707
BR14,Tetraodontidae,Arothron nigropunctatus,46.212222,-9.441707
BR14,Tetraodontidae,Arothron mappa,46.212222,-9.441707
BR14,Pomacanthidae,Apolemichthys trimaculatus,46.212222,-9.441707
BR14,Lutjanidae,Aphareus furca,46.212222,-9.441707
BR14,Serranidae,Aethaloperca rogaa,46.212222,-9.441707
BR14,Acanthuridae,Acanthurus tennentii,46.212222,-9.441707
BR14,Acanthuridae,Acanthurus nigrofuscus,46.212222,-9.441707
BR14,Acanthuridae,Acanthurus leucosternon,46.212222,-9.441707
BR14,Acanthuridae,Acanthurus auranticavus,46.212222,-9.441707
BR15,Balistidae,Sufflamen fraenatum,46.211791,-9.44651
BR15,Caesionidae,Pterocaesio tile,46.211791,-9.44651
BR15,Ephippidae,Platax teira,46.211791,-9.44651
BR15,Dasyatidae,Pateobatis jenkinsii,46.211791,-9.44651
BR15,Mullidae,Parupeneus barberinus,46.211791,-9.44651
BR15,Lutjanidae,Lutjanus bohar,46.211791,-9.44651
BR15,Lethrinidae,Lethrinus nebulosus,46.211791,-9.44651
BR15,Carangidae,Gnathanodon speciosus,46.211791,-9.44651
BR15,Cheloniidae,Chelonia sp,46.211791,-9.44651
BR15,Carcharhinidae,Carcharhinus melanopterus,46.211791,-9.44651
BR15,Carcharhinidae,Carcharhinus amblyrhynchos,46.211791,-9.44651
BR15,Carangidae,Caranx melampygus,46.211791,-9.44651
BR15,Carangidae,Caranx ignobilis,46.211791,-9.44651
BR15,Lutjanidae,Aphareus furca,46.211791,-9.44651
BR15,Acanthuridae,Acanthurus xanthopterus,46.211791,-9.44651
BR15,Acanthuridae,Acanthurus thompsoni,46.211791,-9.44651
BR16,Zanclidae,Zanclus cornutus,46.222109,-9.463743
BR16,Serranidae,Variola louti,46.222109,-9.463743
BR16,Labridae,Thalassoma hebraicum,46.222109,-9.463743
BR16,Labridae,Thalassoma amblycephalum,46.222109,-9.463743
BR16,Balistidae,Sufflamen chrysopterum,46.222109,-9.463743
BR16,Labridae,Stethojulis albovittata,46.222109,-9.463743
BR16,Carangidae,Scomberoides lysan,46.222109,-9.463743
BR16,Scaridae,Scarus rubroviolaceus,46.222109,-9.463743
BR16,Labridae,Pseudodax moluccanus,46.222109,-9.463743
BR16,Pomacentridae,Plectroglyphidodon johnstonianus,46.222109,-9.463743
BR16,Ephippidae,Platax orbicularis,46.222109,-9.463743
BR16,Blenniidae,Plagiotremus rhinorhynchos,46.222109,-9.463743
BR16,Mullidae,Parupeneus macronemus,46.222109,-9.463743
BR16,Mullidae,Parupeneus indicus,46.222109,-9.463743
BR16,Cirrhitidae,Paracirrhites arcatus,46.222109,-9.463743
BR16,Labridae,Oxycheilinus bimaculatus,46.222109,-9.463743
BR16,Balistidae,Odonus niger,46.222109,-9.463743
BR16,Acanthuridae,Naso elegans,46.222109,-9.463743
BR16,Acanthuridae,Naso brevirostris,46.222109,-9.463743
BR16,Balistidae,Melichthys niger,46.222109,-9.463743
BR16,Balistidae,Melichthys indicus,46.222109,-9.463743
BR16,Malacanthidae,Malacanthus latovittatus,46.222109,-9.463743
BR16,Labridae,Macropharyngodon bipartitus,46.222109,-9.463743
BR16,Lutjanidae,Lutjanus bohar,46.222109,-9.463743
BR16,Labridae,Labroides dimidiatus,46.222109,-9.463743
BR16,Labridae,Labroides bicolor,46.222109,-9.463743
BR16,Labridae,Halichoeres cosmetus,46.222109,-9.463743
BR16,Labridae,Gomphosus caeruleus,46.222109,-9.463743
BR16,Carangidae,Gnathanodon speciosus,46.222109,-9.463743
BR16,Serranidae,Epinephelus fasciatus,46.222109,-9.463743
BR16,Echeneidae,Echeneis naucrates,46.222109,-9.463743
BR16,Labridae,Coris formosa,46.222109,-9.463743
BR16,Labridae,Coris caudimacula,46.222109,-9.463743
BR16,Labridae,Cirrhilabrus exquisitus,46.222109,-9.463743
BR16,Pomacentridae,Chromis nigrura,46.222109,-9.463743
BR16,Pomacentridae,Chromis fieldi,46.222109,-9.463743
BR16,Scaridae,Chlorurus sordidus,46.222109,-9.463743
BR16,Labridae,Cheilinus trilobatus,46.222109,-9.463743
BR16,Chaetodontidae,Chaetodon xanthocephalus,46.222109,-9.463743
BR16,Chaetodontidae,Chaetodon trifascialis,46.222109,-9.463743
BR16,Chaetodontidae,Chaetodon meyeri,46.222109,-9.463743
BR16,Chaetodontidae,Chaetodon madagaskariensis,46.222109,-9.463743
BR16,Chaetodontidae,Chaetodon lunula,46.222109,-9.463743
BR16,Chaetodontidae,Chaetodon interruptus,46.222109,-9.463743
BR16,Chaetodontidae,Chaetodon guttatissimus,46.222109,-9.463743
BR16,Chaetodontidae,Chaetodon auriga,46.222109,-9.463743
BR16,Pomacanthidae,Centropyge multispinis,46.222109,-9.463743
BR16,Carcharhinidae,Carcharhinus melanopterus,46.222109,-9.463743
BR16,Carangidae,Caranx melampygus,46.222109,-9.463743
BR16,Monacanthidae,Cantherhines pardalis,46.222109,-9.463743
BR16,Balistidae,Balistoides viridescens,46.222109,-9.463743
BR16,Balistidae,Balistapus undulatus,46.222109,-9.463743
BR16,Tetraodontidae,Arothron nigropunctatus,46.222109,-9.463743
BR16,Lutjanidae,Aphareus furca,46.222109,-9.463743
BR16,Serranidae,Aethaloperca rogaa,46.222109,-9.463743
BR16,Acanthuridae,Acanthurus tennentii,46.222109,-9.463743
BR16,Acanthuridae,Acanthurus nigrofuscus,46.222109,-9.463743
BR16,Acanthuridae,Acanthurus nigricauda,46.222109,-9.463743
BR16,Acanthuridae,Acanthurus leucosternon,46.222109,-9.463743
BR16,Dugongidae, sp,46.222109,-9.463743
BR17,Sphyraenidae,Sphyraena barracuda,46.218807,-9.461675
BR17,Balistidae,Pseudobalistes flavimarginatus,46.218807,-9.461675
BR17,Dasyatidae,Pateobatis jenkinsii,46.218807,-9.461675
BR17,Mullidae,Parupeneus barberinus,46.218807,-9.461675
BR17,Carcharhinidae,Negaprion acutidens,46.218807,-9.461675
BR17,Lethrinidae,Lethrinus nebulosus,46.218807,-9.461675
BR17,Lethrinidae,Gymnocranius grandoculis,46.218807,-9.461675
BR17,Microdesmidae,Gunnellichthys monostigma,46.218807,-9.461675
BR17,Carangidae,Gnathanodon speciosus,46.218807,-9.461675
BR17,Echeneidae,Echeneis naucrates,46.218807,-9.461675
BR17,Carcharhinidae,Carcharhinus melanopterus,46.218807,-9.461675
BR17,Carcharhinidae,Carcharhinus amblyrhynchos,46.218807,-9.461675
BR17,Carangidae,Caranx melampygus,46.218807,-9.461675
BR17,Carangidae,Caranx ignobilis,46.218807,-9.461675
BR17,Carangidae,Carangoides orthogrammus,46.218807,-9.461675
BR17,Lutjanidae,Aprion virescens,46.218807,-9.461675
BR18,Carcharhinidae,Carcharhinus amblyrhynchos,46.217767,-9.465229
BR19,Acanthuridae,Zebrasoma desjardinii,46.223123,-9.469808
BR19,Zanclidae,Zanclus cornutus,46.223123,-9.469808
