Species,S,N,FO%,SL (mm),TW (g),Locality
"Hygophum taaningi Becker, 1965",1-2,108.0,12.2,51 (26–66),1.9 (0.9–3.1),FNR-RN
"Lampadena luminosa (Garman, 1899)",1-2,29.0,4.9,28 (19–51),2.2 (0.5–5.4),FNR-PB-RN
"Lampanyctus alatus Goode & Bean, 1896",2,2.0,1.2,37 (37–38),3.5 (2.9–4.2),FNR
"Lampanyctus lineatus (Tåning, 1928)",1-2,5.0,4.9,137 (26–178),19.0 (0.63–29.46),FNR-PB
"Lampanyctus festivus Tåning, 1928",2,4.0,1.2,87 (56–120),6.8 (1.3–13.7),FNR
"Lampanyctus nobilis Tåning, 1928",1-2,285.0,29.3,19 (57–120),2.6 (0.4–14),FNR-PB-PE-RN
"Lampanyctus tenuiformis (Brauer, 1906)",2,26.0,9.8,111 (44–149),16.0 (0.7–46.4),FNR-PE-RN
"Lepidophanes guentheri (Goode & Bean, 1896)",1-2,219.0,29.3,48 (22–62),3.6 (0.5–9.9),FNR-PB-PE-RN
"Myctophum nitidulum Garman, 1899",1-2,12.0,11.0,59 (38–70),3.6 (1.8–5.1),FNR-PB-RN
"Notoscopelus resplendens (Richardson, 1845)",2,2.0,2.4,75 (67–84),3.1 (2.7–3.5),FNR
"Taaningichthys bathyphilus (Tåning, 1928)",2,10.0,4.9,62 (54–71),1.7 (1.1–2.8),FNR
LAMPRIFORMES,,,,,,
Lophotidae,,,,,,
"Eumecichthys fiski (Günther, 1890)",2,1.0,1.2,1880,2190.0,FNR
Trachipteridae,,,,,,
"Desmodema polystictum (Ogilby, 1898)",2,1.0,1.2,74,1.0,FNR
"Trachipterus sp. (Ramsay, 1881)",2,5.0,6.1,36 (18–55),3.1 (0.1–7.0),FNR-PE-RN
"1Zu cristatus (Bonelli, 1819)",1-2,9.0,11.0,57 (10–89),14.7 (0.1–93.1),FNR-RN
STYLEPHORIFORMES,,,,,,
Stylephoridae,,,,,,
"1Stylephorus chordatus Shaw, 1791",1-2,64.0,18.3,176 (59–279),3.7 (0.5–11.0),FNR-PB-RN
GADIFORMES,,,,,,
Melanonidae,,,,,,
"Melanonus zugmayeri Norman, 1930",2,21.0,11.0,115 (64–265),11.6 (1.0–11.9),FNR
Macrouridae,,,,,,
Bathygadus sp.*,2,2.0,1.2,76 (72–81),1.3 (1.0–1.5),FNR
"Macrouroides inflaticeps Smith & Radcliffe, 1912",2,2.0,2.4,197 (179–215),91.4 (67.4–115.4),FNR
Bregmacerotidae,,,,,,
"Bregmaceros cf. atlanticus Goode & Bean, 1886",1-2,20.0,7.3,65 (32–85),1.9 (0.5–4.4),FNR-RN
TRACHICHTHYIFORMES,,,,,,
Anoplogastridae,,,,,,
"Anoplogaster cornuta (Valenciennes, 1833)",2,4.0,3.7,100 (85–107),31.2 (18.3–43.4),FNR-RN
Diretmidae,,,,,,
"Diretmoides pauciradiatus (Woods, 1973)",1-2,23.0,8.5,26 (4–62),3.4 (0.5–8.5),FNR
"Diretmus argenteus Johnson, 1864",2,116.0,13.4,53 (14–75),8.1 (0.6–67.4),FNR
Trachichthyidae,,,,,,
"Aulotrachichthys argyrophanus (Woods, 1961)",2,6.0,3.7,28 (24–34),1.2 (0.7–1.5),FNR
BERYCIFORMES,,,,,,
Rondeletiidae,,,,,,
"Rondeletia loricata Abe & Hotta, 1963",1-2,3.0,3.7,55 (32–78),4.8 (1.2–10.4),FNR
Cetomimidae,,,,,,
4Cetomimus sp.*,2,2.0,2.4,64 (39–65),1.8 (1.5–2.1),FNR-PE
"Cetostoma regani Zugmayer, 1914",1-2,5.0,4.9,98 (81–114),5.8 (1.6–18.4),FNR
"4Ditropichthys storeri (Goode & Bean, 1895)",2,1.0,1.2,49,1.5,FNR
