0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Heterocongridae - Garden eels,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heteroconger hassi,,,,,11,,,,,,,,,11,,,,,,,,,,,,,
Heteroconger sp.,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Gobiidae - Gobies,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amblyeleotris hectori,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Amblygobius phalaena,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Eviota pellucida,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Istigobius rigilus,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Valenciennea randalli,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
Valenciennea sexgutata,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Valenciennea strigata,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Haemulidae - Sweetlips,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diagramma menalarcum,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Plectorhinchus albovittatus,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Plectorhinchus celebicus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plectorhinchus chaetodonoides,,111,1.0,,1111,1.0,,11111,1.0,,11,1.0,,11111,1.0,,1111,1.0,,11.0,1.0,,,,1.0,,
Plectorhinchus gaterinus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plectorhinchus lessoni,,,,,,,,1,,,,,,11,,,,,,,,,,,,,
Plectorhinchus lineatus,,111,1.0,,1,,,111,1.0,,11,1.0,,111,1.0,,111,1.0,,11.0,,,,,1.0,,
Plectorhinchus obscurus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plectorhinchus orientalis,,,,,,,,1,,,,,,1,,,,,,,,,,,,,
Plectorhinchus picus,,,,,,,,1,,,,,,1,,,,,,,,,,,,,
Holocentridae - Soldier and Squirrel fishes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myripristis adusta,,1,,,11,,,11,,,1,,,11,,,11,,,,,,,,,,
Myripristis berndti,,11,,,,,,11,,,1,,,1,1.0,,,,,,,,,,1.0,,
Myripristis kuntee,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Myripristis murdjan,,111,,,1111,,,11,,,11,,,1111,,,1111,,,11.0,,,1.0,,1.0,,
Myripristis violacea,,1,,,1,,,111,,,1,,,,,,,,,11.0,,,,,,,
Myripristis sp.,,1,,,11,,,1,,,1,,,1,,,1,,,11.0,,,,,,,
Neoniphon argenteus,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Neoniphon opercularis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neoniphron sammara,,,,,,,,111,,,1,,,,,,,,,1.0,,,,,,,
Neoniphron sp.,,1,,,1,,,1,,,1,,,,,,,,,1.0,,,,,,,
Sargocentron caudimaculatum,,111,,,11,,,111,,,11,,,11,,,11,,,11.0,,,,,,,
Sargocentron diadema,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
Sargocentron ittodai,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Sargocentron spiniferum,,111,,,111,1.0,,1111,,,11,,,111,1.0,,111,1.0,,11.0,,,,,1.0,,
Sargocentron violaceum,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
Sargocentron sp.,,1,,,,,,,,,1,,,1,,,1,,,1.0,,,,,,,
