0,1,2,3,4
"Cynoscion xanthulus Jordan & Gilbert,",1882,,,
Family Luvaridae,,,,
"Luvarus imperialis Rafinesque, 1810",,,,
Family Sphyraenidae,,,,
"Sphyraena argentea Girard, 1854",,,,
Family Gempylidae,,,,
"Gempylus serpens Cuvier, 1829",,,,
"Lepidocybium flavobrunneum (Smith, 1843)",Unnamed: 1,,,
"Nealotus tripes Johnson, 1865",,,,
Family Trichiuridae,,,,
"Lepidopus fitchi Rosenblatt & Wilson, 1987",,,,
"Trichiurus lepturus Linnaeus, 1758",,,,
Family Scombridae,,,,
"Acanthocybium solandri (Cuvier, 1832)",,,,
"Auxis thazard brachydorax Collette & Aadland,",1996,,,
"Auxis rochei eudorax Collette & Aadland, 1996",,,,
"Euthynnus affinis (Cantor, 1849)",,,,
"Euthynnus lineatus Kishinouye, 1920",,,,
"Katsuwonus pelamis (Linnaeus, 1758)",,,,
"Sarda chilensis (Cuvier, 1832)",,,,
"Sarda orientalis (Temminck & Schlegel, 1844)",,,,
"Scomber australasicus Cuvier, 1832",,,,
"Scomber japonicus Houttuyn, 1782",,,,
"Thunnus alalunga (Bonnaterre, 1788)",,,,
"Thunnus albacares (Bonnaterre, 1788)",,,,
"Thunnus obesus (Lowe, 1839)",,,,
"Thunnus orientalis (Temminck & Schlegel,",1844),,,
Family Xiphiidae,,,,
"Xiphias gladius Linnaeus, 1758",,,,
Family Istiophoridae,,,,
"Istiophorus platypterus (Shaw, 1792)",,,,
"Istiompax indica (Cuvier, 1832)",,,,
"Kajikia audax (Philippi, 1887)",,,,
"Makaira nigricans Lacepéde, 1802",,,,
"Tetrapturus angustirostris Tanaka, 1915",,,,
Family Centrolophidae,,,,
"Schedophilus haedrichi Chirichigno F., 1973",,,,
Family Nomeidae,,,,
"Cubiceps pauciradiatus Ginther, 1872",,,,
"Nomeus gronovii (Gmelin, 1789)",,,,
"Psenes sio Haedrich, 1970",,,,
Order PLEURONECTIFORMES,,,,
Family Paralichthyidae,,,,
"Citharichthys gilberti Jenkins & Evermann, 1889",,,,
"Syacium latifrons (Jordan & Gilbert, 1882)",,,,
"Syacium ovale (Ginther, 1864)",,,,
Family Soleidae,,,,
"Aseraggodes herrei Seale, 1940",,,,
Family Cynoglossidae,,,,
"Symphurus atramentatus Jordan & Bollman, 1890",,,,
"Symphurus leei Jordan & Bollman, 1890",,,,
Order TETRAODONTIFORMES,,,,
Family Tetraodontidae,,,,
"Lagocephalus lagocephalus (Linnaeus, 1758)",,,,
Family Molidae,,,,
"Mola mola (Linnaeus, 1758)",,,,
"Ranzania laevis (Pennant, 1776)",,,,
